entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,LINKUSDT,Infrastructure,24,0.037011395541585494,0.03154231159321273,0.02812228751816841,0.0010351608473240688,0.9618748692716534,0.06820751965346061,0.10294625615953024,-0.3676263955991561,19.05312296209554,7.649,6.62,-0.13452738920120277,-0.12836255378906125,-0.006164835412141523
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,LTCUSDT,Payment,24,0.025120256934057558,0.02307788927247433,0.021755705500955434,-0.0010347300744057133,0.8507755320015371,0.05849074754490308,0.09118171805065778,-0.4959472761202184,18.75080861202706,59.7,53.81,-0.09865996649916253,-0.12836255378906125,0.02970258728989872
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,NEARUSDT,Layer-1,24,0.02730435752582617,0.03366865839562377,0.03802506679009328,-0.005310717630232257,1.153154374171322,0.07941613955536654,0.14190762778274646,-0.9987462923279242,19.21584937978078,4.227,4.369,0.033593565176247786,-0.12836255378906125,0.16195611896530904
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,RUNEUSDT,DeFi,24,0.036338944344551254,0.03587074209993886,0.03591033961102963,-0.0024610976289766453,1.4541054475370203,0.09649319338809031,0.20470855583794478,-0.8853628109990983,18.58653716681102,2.596,1.912,-0.26348228043143307,-0.12836255378906125,-0.13511972664237182
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,SNXUSDT,DeFi,24,0.07655549964780739,0.06638747799407049,0.06220725835794785,0.0036727125741774693,1.264626541512929,0.10277763227790668,0.23375551200629063,-0.2800942592649498,18.371974701208327,3.556,2.954,-0.1692913385826771,-0.12836255378906125,-0.040928784793615836
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,SOLUSDT,Layer-1,24,0.028862792471922968,0.028696302952100655,0.026018232470391065,-0.002273420486152543,1.1004327832003167,0.07453772240151578,0.1207163480866229,-0.7151484064654099,20.771507997503573,42.31,31.47,-0.2562042070432523,-0.12836255378906125,-0.12784165325419106
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,TRXUSDT,Layer-1,24,0.032598587062805086,0.042538351095681964,0.04137800143456538,0.002566977940392952,0.5171999045558388,0.05391567574136289,0.049592001147918285,-0.024455991816435763,18.163951358855535,0.06877,0.06332,-0.07924967282245166,-0.12836255378906125,0.049112880966609596
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,UNIUSDT,DeFi,24,0.03773192985453955,0.034562474630687935,0.031071368252218092,0.008359133013423224,1.0751268851917382,0.07563443386273488,0.18888943785879486,0.21026388845054877,18.498981086490513,8.326,6.135,-0.2631515733845785,-0.12836255378906125,-0.13478901959551726
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,VETUSDT,Layer-1,24,0.016822216193458518,0.018177333555137707,0.018906219053077558,-0.0016856304830633192,0.887759699072254,0.05887393258705812,0.07683381264949851,-0.5692115461004432,17.385663210911368,0.0271,0.02419,-0.107380073800738,-0.12836255378906125,0.020982479988323255
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,XLMUSDT,Layer-2,24,0.020198485588905093,0.020122773289090005,0.018825404159666534,-0.0003826420122341367,0.7297265618697178,0.05051592752264839,0.06829179355095372,-0.3835128352447992,17.386298704182526,0.11748,0.10425,-0.11261491317671102,-0.12836255378906125,0.015747640612350233
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,XMRUSDT,PoW,24,0.034633571420920196,0.03819740650438545,0.038205547041337565,0.0005512306511533442,0.7402203983202096,0.06054080750438882,0.07635520931501016,-0.3069482859258432,17.734071971207687,154.56,149.16,-0.03493788819875776,-0.12836255378906125,0.09342466559030349
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,XRPUSDT,Payment,24,0.017695285666545907,0.017355147014584914,0.017353181269160436,-0.0011934796516645035,0.7142764356102256,0.04858971005478507,0.0640931860155376,-0.44712202080855923,19.474779737951,0.3789,0.3273,-0.1361836896278702,-0.12836255378906125,-0.007821135838808946
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,ZECUSDT,PoW,24,0.02713491947894939,0.033418032821453954,0.03428114640884399,-0.0026875145223487122,0.8599331744989507,0.06375609053651464,0.10320185318978847,-0.6435164237808371,17.45895422986162,64.41,59.77,-0.07203850333799089,-0.12836255378906125,0.05632405045107036
2022-08-01 00:00:00+00:00,2022-07-30 00:00:00+00:00,2022-09-01 00:00:00+00:00,31,ZILUSDT,PoW,24,0.03338879482597557,0.0416196568249091,0.046829058444388484,-0.0003798936144959093,1.1047158920307325,0.08060953590849475,0.07716970672047863,-0.5544372536043856,17.825137375288104,0.04264,0.03618,-0.15150093808630394,-0.12836255378906125,-0.023138384297242687
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,AAVEUSDT,DeFi,24,0.030788429991011054,0.03025393727881864,0.03260961069719713,0.00025446962222005554,1.3602499223897373,0.07013240753613012,0.1271704396079949,-0.23129047635592492,18.464327124242985,84.74,74.57,-0.12001416096294548,-0.023486567113241097,-0.09652759384970439
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,AVAXUSDT,Layer-1,24,0.023902502186732674,0.025610734478238407,0.028649704121489816,0.00027958068864679625,1.195484138205346,0.06157085529368888,0.0662768380826213,-0.1998733407612443,19.760897471566008,19.12,17.19,-0.1009414225941423,-0.023486567113241097,-0.0774548554809012
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,BCHUSDT,Payment,24,0.02926349721074445,0.030188248236706336,0.02821190068703373,-0.0035664593444201614,0.925075801291897,0.05320556514220307,0.08454635922855935,-0.48370009855661955,18.5495547045136,115.0,120.02,0.043652173913043546,-0.023486567113241097,0.06713874102628464
