plan_id,stage,variant,month_end,decision_time,entry_time,exit_time,holding_days,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,funding_rate_sum,actual_funding_return,stress_funding_return,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-month_long-202212,development,month_long,2022-12-31T00:00:00Z,2022-11-30T23:59:59Z,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,31.0,0.5,17153.4,16537.5,2.914874019144892e-05,94,0.004336100000000001,-0.0021407277552902126,-0.00334099507082517,-0.018541937458463054,-0.01854193745846308,2.7755575615628914e-17,-0.020682665213753268,-0.01952399552100459,-0.019523995521004558,-3.122502256758253e-17,-0.021664723276294803,-0.02050605358354607,-0.02050605358354614,6.938893903907228e-17,-0.02384704865437124
development-month_long-202301,development,month_long,2023-01-31T00:00:00Z,2022-12-31T23:59:59Z,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,31.0,0.5,16537.5,23119.5,3.023431594860166e-05,92,0.007900390000000002,-0.004986039912169962,-0.007513108224440467,0.19828286621315194,0.19828286621315191,2.7755575615628914e-17,0.193296826300982,0.19708398334693877,0.1970839833469388,-2.7755575615628914e-17,0.19209794343476883,0.1958851004807256,0.19588510048072552,8.326672684688674e-17,0.18837199225628515
development-month_long-202302,development,month_long,2023-02-28T00:00:00Z,2023-01-31T23:59:59Z,2023-02-01T00:00:00Z,2023-03-01T00:00:00Z,28.0,0.5,23119.5,23129.7,2.1626765284716365e-05,84,0.006991200000000001,-0.003539388430739943,-0.0053093213692656915,-0.00037953934989937155,-0.0003795393498994198,4.824699667560495e-17,-0.0039189277806393145,-0.0013797598105495523,-0.0013797598105494853,-6.700369425960417e-17,-0.004919148241289495,-0.002379980271199622,-0.00237998027119963,7.806255641895632e-18,-0.0076893016404653135
development-month_long-202303,development,month_long,2023-03-31T00:00:00Z,2023-02-28T23:59:59Z,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,31.0,0.5,23129.7,28454.8,2.161722806607954e-05,94,0.00534409,-0.002951070864155958,-0.004587356200112534,0.11444483283397533,0.11444483283397533,0.0,0.11149376196981937,0.11332978800114146,0.11332978800114141,5.551115123125783e-17,0.11037871713698551,0.11221474316830737,0.11221474316830742,-4.163336342344337e-17,0.10762738696819484
development-month_long-202304,development,month_long,2023-04-30T00:00:00Z,2023-03-31T23:59:59Z,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,30.0,0.5,28454.8,29223.0,1.7571727792850415e-05,89,0.0044134,-0.002257844307505485,-0.0034959577653866213,0.012890502129693449,0.01289050212969342,2.7755575615628914e-17,0.010632657822187964,0.011877011627563716,0.01187701162756377,-5.377642775528102e-17,0.009619167320058231,0.010863521125433984,0.010863521125434053,-6.938893903907228e-17,0.007367563360047362
development-month_long-202305,development,month_long,2023-05-31T00:00:00Z,2023-04-30T23:59:59Z,2023-05-01T00:00:00Z,2023-06-01T00:00:00Z,31.0,0.5,29223.0,27201.1,1.7109810765492935e-05,93,0.00512901,-0.0024127165394964263,-0.0036624965629698685,-0.03517356979091807,-0.03517356979091814,6.938893903907228e-17,-0.0375862863304145,-0.03613899622112726,-0.03613899622112717,-9.020562075079397e-17,-0.03855171276062369,-0.03710442265133623,-0.03710442265133631,7.632783294297951e-17,-0.0407669192143061
development-month_long-202306,development,month_long,2023-06-30T00:00:00Z,2023-05-31T23:59:59Z,2023-06-01T00:00:00Z,2023-07-01T00:00:00Z,30.0,0.5,27201.1,30460.2,1.838160956726015e-05,91,0.006128890000000001,-0.003186822792786031,-0.004858664026996489,0.05927155923841321,0.05927155923841319,1.3877787807814457e-17,0.05608473644562718,0.05821168767917473,0.058211687679174784,-5.551115123125783e-17,0.0550248648863887,0.05715181611993636,0.057151816119936374,-1.3877787807814457e-17,0.052293152092939874
development-month_long-202307,development,month_long,2023-07-31T00:00:00Z,2023-06-30T23:59:59Z,2023-07-01T00:00:00Z,2023-08-01T00:00:00Z,31.0,0.5,30460.2,29220.8,1.6414862673258877e-05,93,0.005591109999999999,-0.0027637300687801502,-0.0042016984167980425,-0.02093237404875864,-0.020932374048758737,9.71445146547012e-17,-0.02369610411753879,-0.021912041674709948,-0.021912041674709924,-2.42861286636753e-17,-0.0246757717434901,-0.02289170930066109,-0.022891709300661176,8.673617379884035e-17,-0.027093407717459134
development-month_long-202308,development,month_long,2023-08-31T00:00:00Z,2023-07-31T23:59:59Z,2023-08-01T00:00:00Z,2023-09-01T00:00:00Z,31.0,0.5,29220.8,25928.0,1.711109894321853e-05,93,0.005351730000000001,-0.0026455995328751457,-0.0041320009450045,-0.05690962054426979,-0.05690962054426983,4.163336342344337e-17,-0.059555220077144935,-0.05785331092372553,-0.05785331092372548,-4.85722573273506e-17,-0.06049891045660068,-0.05879700130318122,-0.05879700130318125,3.469446951953614e-17,-0.06292900224818572
development-month_long-202309,development,month_long,2023-09-30T00:00:00Z,2023-08-31T23:59:59Z,2023-09-01T00:00:00Z,2023-10-01T00:00:00Z,30.0,0.5,25928.0,26951.0,1.9284171551990126e-05,90,0.0009511900000000001,-0.0004724405750406601,-0.0010903733128283964,0.019115870873187335,0.019115870873187286,4.85722573273506e-17,0.018643430298146677,0.018096155002314096,0.018096155002314155,-5.898059818321144e-17,0.017623714427273438,0.017076439131440968,0.017076439131440878,9.020562075079397e-17,0.01598606581861257
development-month_long-202310,development,month_long,2023-10-31T00:00:00Z,2023-09-30T23:59:59Z,2023-10-01T00:00:00Z,2023-11-01T00:00:00Z,31.0,0.5,26951.0,34651.4,1.855218730288301e-05,93,0.003800439999999999,-0.002257820387896024,-0.0036676171850239087,0.14217354754925615,0.1421735475492561,5.551115123125783e-17,0.13991572716136014,0.14103077400170683,0.14103077400170683,0.0,0.1387729536138108,0.13988800045415772,0.13988800045415756,1.6653345369377348e-16,0.13622038326913383
development-month_long-202311,development,month_long,2023-11-30T00:00:00Z,2023-10-31T23:59:59Z,2023-11-01T00:00:00Z,2023-12-01T00:00:00Z,30.0,0.5,34651.4,37716.9,1.442943142268422e-05,90,0.01018395,-0.005371752683227145,-0.008057629024840718,0.04360688197302276,0.04360688197302273,2.7755575615628914e-17,0.03823512928979562,0.04256267509104972,0.04256267509104979,-6.938893903907228e-17,0.037190922407822576,0.041518468209076786,0.04151846820907674,4.85722573273506e-17,0.03346083918423607
development-month_long-202312,development,month_long,2023-12-31T00:00:00Z,2023-11-30T23:59:59Z,2023-12-01T00:00:00Z,2024-01-01T00:00:00Z,31.0,0.5,37716.9,42314.0,1.3256656830227298e-05,93,0.01714581,-0.009704451060276667,-0.014556676590415001,0.06030561180796934,0.060305611807969346,-6.938893903907228e-18,0.05060116074769267,0.0592447061961614,0.05924470619616141,-6.938893903907228e-18,0.04954025513588473,0.05818380058435346,0.05818380058435346,0.0,0.04362712399393846
