signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2021-10-01 00:00:00+00:00,2021-10-02 00:00:00+00:00,2021-10-02 00:15:00+00:00,2021-10-03 00:15:00+00:00,0.000199960008665,1.79926025541e-07,1.25610317964e-07,1.60533588086e-14,2.69117343318,1,1,0.000199960008665,0.000199960008665,15,4,0.0941573851155,0.00269018355138,-1.88686899572e-06,47698.11,47698.02,1.88686899572e-06,-0.00140911732385
2021-10-09 00:00:00+00:00,2021-10-10 00:00:00+00:00,2021-10-10 00:15:00+00:00,2021-10-11 00:15:00+00:00,0.000199940018661,1.79892050029e-07,9.41849795488e-08,1.14870673214e-14,5.02008729763,1,1,0.000199940018661,0.000199940018661,12,3,0.0180992307711,0.000521407798274,-0.00282553308061,54899,54744.1,0.00282553308061,-0.000703205770943
2021-10-11 00:00:00+00:00,2021-10-12 00:00:00+00:00,2021-10-12 00:15:00+00:00,2021-10-13 00:15:00+00:00,0.000199980002666,3.88279493483e-07,1.83735622236e-07,2.12596939833e-14,8.80657764502,1,1,0.000199980002666,0.000199980002666,17,7,0.0499214122884,0.000694794130143,-0.0123801870229,56895.93,56195.89,0.0123801870229,0.00168545771464
2021-10-14 00:00:00+00:00,2021-10-15 00:00:00+00:00,2021-10-15 00:15:00+00:00,2021-10-16 00:15:00+00:00,0.000199980002666,9.95873746209e-08,5.78015058548e-08,1.76341482868e-15,6.24671070321,1,1,0.000199980002666,0.000199980002666,12,4,-0.000288052439036,0.000988289562927,0.0680639449646,57380.3,61421.81,-0.0680639449646,-0.0184255752823
2021-11-09 00:00:00+00:00,2021-11-10 00:00:00+00:00,2021-11-10 00:15:00+00:00,2021-11-11 00:15:00+00:00,9.99950003333e-05,1.61141859428e-06,7.38169493256e-07,4.44121147137e-13,8.22596055146,1,1,9.99950003333e-05,9.99950003333e-05,19,10,-0.00885937434613,0.000697532538122,-0.0384056879721,67167.6,64636.89,0.0384056879721,0.00819183295193
2021-11-11 00:00:00+00:00,2021-11-12 00:00:00+00:00,2021-11-12 00:15:00+00:00,2021-11-13 00:15:00+00:00,0.000390037058465,5.85400754566e-07,3.99709175288e-07,1.68634117776e-13,2.83869471419,1,1,0.000390037058465,0.000390037058465,19,18,-0.00137077614426,0.000852645936446,-0.00632282704795,64775.15,64366.88,0.00632282704795,0.000171117720891
2021-11-16 00:00:00+00:00,2021-11-17 00:00:00+00:00,2021-11-17 00:15:00+00:00,2021-11-18 00:15:00+00:00,0.000300051010923,1.1033092472e-06,7.31013982935e-07,6.99185641614e-13,2.79505567468,1,1,0.000300051010923,0.000300051010923,21,14,-0.0573596952553,0.00275480705601,0.00661563418063,60138.01,60537.18,-0.00661563418063,-0.00306349758625
2021-11-20 00:00:00+00:00,2021-11-21 00:00:00+00:00,2021-11-21 00:15:00+00:00,2021-11-22 00:15:00+00:00,9.99050902474e-05,5.09024437346e-07,3.1356323391e-07,8.16036391664e-14,4.29541378579,1,1,9.99050902474e-05,9.99050902474e-05,16,7,0.0279637665772,0.00101136669153,-0.0279678160712,59748,58100.13,0.0279678160712,0.0055823649767
2021-11-21 00:00:00+00:00,2021-11-22 00:00:00+00:00,2021-11-22 00:15:00+00:00,2021-11-23 00:15:00+00:00,0.000299655398537,5.68798925847e-07,3.91927402018e-07,2.22837443665e-13,2.35213928417,1,1,0.000299655398537,0.000299655398537,16,6,-0.0180363719643,0.000674336889337,-0.0355455896512,58100.13,56071.2,0.0355455896512,0.00747680837169
2021-11-25 00:00:00+00:00,2021-11-26 00:00:00+00:00,2021-11-26 00:15:00+00:00,2021-11-27 00:15:00+00:00,0.000399800105275,8.79010899597e-07,5.49176077509e-07,5.48623623893e-13,2.79549328582,1,1,0.000399800105275,0.000399800105275,12,8,0.0313967389236,0.000739899604494,-0.0837155179207,59090.01,54344.66,0.0837155179207,0.0195192904391
2021-12-05 00:00:00+00:00,2021-12-06 00:00:00+00:00,2021-12-06 00:15:00+00:00,2021-12-07 00:15:00+00:00,0.000199740338225,3.98918239375e-07,2.97658102518e-07,9.41368879792e-14,2.07184753583,1,1,0.000199740338225,0.000199740338225,17,8,0.00483548263364,0.00191587983767,0.0357882026904,48851.82,50631.8,-0.0357882026904,-0.0103566397137
2021-12-15 00:00:00+00:00,2021-12-16 00:00:00+00:00,2021-12-16 00:15:00+00:00,2021-12-17 00:15:00+00:00,9.99350423057e-05,1.89765221154e-07,1.25503640187e-07,1.96991589018e-14,2.8742647311,1,1,9.99350423057e-05,9.99350423057e-05,11,4,0.0112452015532,0.00184440870774,-0.0218531363724,48886.74,47830,0.0218531363724,0.004053695052
2021-12-23 00:00:00+00:00,2021-12-24 00:00:00+00:00,2021-12-24 00:15:00+00:00,2021-12-25 00:15:00+00:00,9.99650123289e-05,2.09845086881e-07,1.25574218927e-07,2.51605619647e-14,3.33515866963,1,1,9.99650123289e-05,9.99650123289e-05,15,3,0.0452497680515,0.00069143319464,0.00322296076462,50669.73,50833.3,-0.00322296076462,-0.00221532923225
2021-12-25 00:00:00+00:00,2021-12-26 00:00:00+00:00,2021-12-26 00:15:00+00:00,2021-12-27 00:15:00+00:00,0.000199880072622,1.99738260001e-07,9.41191073107e-08,1.36556010133e-14,5.67396263172,1,1,0.000199880072622,0.000199880072622,14,4,-0.0080173917031,0.000380942260632,0.0091683954883,50435.62,50900.16,-0.0091683954883,-0.00370168791317
2022-01-14 00:00:00+00:00,2022-01-15 00:00:00+00:00,2022-01-15 00:15:00+00:00,2022-01-16 00:15:00+00:00,9.99750063317e-05,1.69891053534e-07,1.25582065295e-07,1.60469404445e-14,2.19581078916,1,1,9.99750063317e-05,9.99750063317e-05,11,3,0.011770956389,0.000634000677042,0.000254637692056,42996.8,43007.75,-0.000254637692056,-0.00147324846411
2022-01-28 00:00:00+00:00,2022-01-29 00:00:00+00:00,2022-01-29 00:15:00+00:00,2022-01-30 00:15:00+00:00,9.99350423057e-05,1.69767244126e-07,9.41316487389e-08,2.75010023481e-14,2.86319660248,1,1,9.99350423057e-05,9.99350423057e-05,11,5,0.0151076239491,0.00134505622046,0.00959953978534,37874.66,38239.99,-0.00959953978534,-0.00380947398743
2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,2022-02-04 00:15:00+00:00,2022-02-05 00:15:00+00:00,9.9925056291e-05,8.98811183199e-08,6.27502513376e-08,4.55287787223e-15,2.5241773965,1,1,9.9925056291e-05,9.9925056291e-05,9,3,0.0106575099819,0.000819119054686,0.112815101417,37210.32,41654.16,-0.112815101417,-0.0296133643953
2022-02-20 00:00:00+00:00,2022-02-21 00:00:00+00:00,2022-02-21 00:15:00+00:00,2022-02-22 00:15:00+00:00,0.000199800200465,1.79608644898e-07,1.25383008805e-07,2.28962142982e-14,2.24968657291,1,1,0.000199800200465,0.000199800200465,12,5,-0.0429724177556,0.000705493013864,-0.0340970994072,38428.1,37139.9,0.0340970994072,0.00711468581069
2022-03-04 00:00:00+00:00,2022-03-05 00:00:00+00:00,2022-03-05 00:15:00+00:00,2022-03-06 00:15:00+00:00,9.9925056291e-05,1.49779246328e-07,7.84190053976e-08,1.14687124904e-14,4.18309932353,1,1,9.9925056291e-05,9.9925056291e-05,9,4,-0.0814868337986,0.00138452307342,0.0108695753701,39061.7,39488.6,-0.0108695753701,-0.00412698288361
2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,2022-03-11 00:15:00+00:00,2022-03-12 00:15:00+00:00,9.99350423057e-05,5.28868868244e-07,3.60511610952e-07,1.51606649825e-13,2.71438794761,1,1,9.99350423057e-05,9.99350423057e-05,15,8,-0.0622821004947,0.00163756987709,-0.0133492222565,39349.9,38828.1,0.0133492222565,0.00192771652302
