signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2022-02-28 00:00:00+00:00,2022-03-01 00:00:00+00:00,2022-03-01 00:15:00+00:00,2022-03-02 00:15:00+00:00,0,1.19776313908e-07,6.27142090418e-08,4.54742205752e-15,5.31207694643,0,0,0,0,12,3,0.135878518242,0.00399039978286,0.027406330354,43353.8,44558.4,-0.027406330354,-0.000109589041096
2022-03-01 00:00:00+00:00,2022-03-02 00:00:00+00:00,2022-03-02 00:15:00+00:00,2022-03-03 00:15:00+00:00,-9.99150722717e-05,1.89731291754e-07,7.84299800285e-08,0,0,0,0,-0,-0,8,4,0.0282970292326,0.00105719126202,-0.0194663163015,44558.4,43699.4,0.0194663163015,-0.000109589041096
2022-03-02 00:00:00+00:00,2022-03-03 00:00:00+00:00,2022-03-03 00:15:00+00:00,2022-03-04 00:15:00+00:00,-9.9925056291e-05,1.69759257412e-07,1.25486395076e-07,1.82078723001e-14,2.05971533892,0,0,-0,-0,14,3,-0.011504509563,0.0017054463341,-0.0330982651623,43699.4,42276.7,0.0330982651623,-0.000109589041096
2022-03-03 00:00:00+00:00,2022-03-04 00:00:00+00:00,2022-03-04 00:15:00+00:00,2022-03-05 00:15:00+00:00,0,1.59764262804e-07,1.88222539128e-07,4.09637705777e-14,-0.882689237002,0,0,0,0,16,4,-0.0332733154787,0.00108470831809,-0.079093659581,42276.7,39061.7,0.079093659581,-0.000109589041096
2022-03-04 00:00:00+00:00,2022-03-05 00:00:00+00:00,2022-03-05 00:15:00+00:00,2022-03-06 00:15:00+00:00,9.9925056291e-05,1.49779246328e-07,7.84190053976e-08,1.14687124904e-14,4.18309932353,1,1,9.9925056291e-05,9.9925056291e-05,9,4,-0.0814868337986,0.00138452307342,0.0108695753701,39061.7,39488.6,-0.0108695753701,-0.00412698288361
2022-03-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,2022-03-06 00:15:00+00:00,2022-03-07 00:15:00+00:00,-0.000199860098597,9.98441837227e-08,6.27298760789e-08,4.54984587475e-15,3.45415818475,0,0,-0,-0,10,4,0.00630044108187,0.000413642640448,-0.0295808848079,39488.6,38337.6,0.0295808848079,-0.000109589041096
2022-03-06 00:00:00+00:00,2022-03-07 00:00:00+00:00,2022-03-07 00:15:00+00:00,2022-03-08 00:15:00+00:00,9.99350423057e-05,2.29681333396e-07,1.88231943672e-07,3.65939476025e-14,1.36023113497,0,1,0,9.99350423057e-05,17,3,-0.0250449921291,0.00108675458829,-0.00620373244297,38337.6,38100.5,0.00620373244297,-0.000109589041096
2022-03-07 00:00:00+00:00,2022-03-08 00:00:00+00:00,2022-03-08 00:15:00+00:00,2022-03-09 00:15:00+00:00,-9.99350423057e-05,1.89785184998e-07,9.41441942414e-08,1.60328996405e-14,4.74173447604,0,0,-0,-0,13,4,-0.0114556650029,0.00156890840167,0.0151857471247,38100.5,38683.5,-0.0151857471247,-0.000109589041096
2022-03-08 00:00:00+00:00,2022-03-09 00:00:00+00:00,2022-03-09 00:15:00+00:00,2022-03-10 00:15:00+00:00,-0.000199900050641,7.99260517009e-08,6.27737741351e-08,9.11243206429e-15,1.12798635453,0,0,-0,-0,8,3,0.0194649412606,0.00114267681112,0.0794406001598,38683.5,41881.9,-0.0794406001598,-0.000109589041096
2022-03-09 00:00:00+00:00,2022-03-10 00:00:00+00:00,2022-03-10 00:15:00+00:00,2022-03-11 00:15:00+00:00,0.000199900050641,1.19886082047e-07,9.4156740214e-08,1.36677375514e-14,1.38159121541,0,1,0,0.000199900050641,12,3,0.0801327223353,0.00138835175989,-0.0623603191264,41881.9,39349.9,0.0623603191264,-0.000109589041096
2022-03-10 00:00:00+00:00,2022-03-11 00:00:00+00:00,2022-03-11 00:15:00+00:00,2022-03-12 00:15:00+00:00,9.99350423057e-05,5.28868868244e-07,3.60511610952e-07,1.51606649825e-13,2.71438794761,1,1,9.99350423057e-05,9.99350423057e-05,15,8,-0.0622821004947,0.00163756987709,-0.0133492222565,39349.9,38828.1,0.0133492222565,0.00192771652302
2022-03-11 00:00:00+00:00,2022-03-12 00:00:00+00:00,2022-03-12 00:15:00+00:00,2022-03-13 00:15:00+00:00,-0.000399800105275,3.59672238535e-07,3.13859473658e-07,1.22381699591e-13,0.82210533123,0,0,-0,-0,15,5,-0.0177679590659,0.0014051300275,0.00111712298425,38828.1,38871.5,-0.00111712298425,-0.000109589041096
2022-03-12 00:00:00+00:00,2022-03-13 00:00:00+00:00,2022-03-13 00:15:00+00:00,2022-03-14 00:15:00+00:00,9.99650123289e-05,1.29925033578e-07,7.84895755209e-08,9.11729138007e-15,3.3816518683,1,1,9.99650123289e-05,9.99650123289e-05,13,3,0.00205404054888,0.000228358521552,-0.0331828185836,38871.5,37602.8,0.0331828185836,0.0068861156048
2022-03-13 00:00:00+00:00,2022-03-14 00:00:00+00:00,2022-03-14 00:15:00+00:00,2022-03-15 00:15:00+00:00,-9.99650123289e-05,2.09893044308e-07,1.57001124607e-07,2.06095371736e-14,2.3128869842,0,0,-0,-0,15,4,-0.0274320565609,0.000792820173795,0.0494904746285,37602.8,39510.6,-0.0494904746285,-0.000109589041096
2022-03-14 00:00:00+00:00,2022-03-15 00:00:00+00:00,2022-03-15 00:15:00+00:00,2022-03-16 00:15:00+00:00,0.000599640233838,2.99746203682e-07,2.668077935e-07,7.2493868832e-14,0.767982274523,0,1,0,0.000599640233838,15,8,0.0493312723191,0.00102881720107,-0.00424838027715,39510.6,39343.1,0.00424838027715,-0.000109589041096
2022-03-15 00:00:00+00:00,2022-03-16 00:00:00+00:00,2022-03-16 00:15:00+00:00,2022-03-17 00:15:00+00:00,-0.000199840128563,1.59758276384e-07,4.70532838028e-08,0,0,0,0,-0,-0,10,4,-0.00964751377072,0.000795216319278,0.0408342964747,39343.1,40982.9,-0.0408342964747,-0.000109589041096
2022-03-16 00:00:00+00:00,2022-03-17 00:00:00+00:00,2022-03-17 00:15:00+00:00,2022-03-18 00:15:00+00:00,0,1.39800215176e-07,7.84268414211e-08,4.55166478237e-15,5.71076204254,0,0,0,0,11,3,0.0456678769255,0.00538677991053,-0.00382107677405,40982.9,40826.6,0.00382107677405,-0.000109589041096
2022-03-17 00:00:00+00:00,2022-03-18 00:00:00+00:00,2022-03-18 00:15:00+00:00,2022-03-19 00:15:00+00:00,-9.99350423057e-05,1.89753243127e-07,2.03936751303e-07,5.40417236775e-14,-0.383017192704,0,0,-0,-0,13,4,-0.00507050141335,0.000504765773955,0.0230815328755,40826.6,41779.9,-0.0230815328755,-0.000109589041096
2022-03-18 00:00:00+00:00,2022-03-19 00:00:00+00:00,2022-03-19 00:15:00+00:00,2022-03-20 00:15:00+00:00,-0.000399840069301,2.79708250962e-07,2.51055901545e-07,5.04647186676e-14,0.800692042197,0,0,-0,-0,16,7,0.0206566118182,0.000553898387599,0.0111676891653,41779.9,42249.1,-0.0111676891653,-0.000109589041096
2022-03-19 00:00:00+00:00,2022-03-20 00:00:00+00:00,2022-03-20 00:15:00+00:00,2022-03-21 00:15:00+00:00,0,1.99942016728e-07,1.88437457103e-07,2.73688953331e-14,0.436556608246,0,0,0,0,17,4,0.0104027871718,0.000282321614549,-0.0215904400458,42249.1,41346.7,0.0215904400458,-0.000109589041096
