trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,nearness26,nearness52,nearness100,mom52,selection_score,selection_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-main-20240415-TRXUSDT,main,2024-04-15T00:00:00+0000,2024-04-22T00:00:00+0000,2024-04-13T00:00:00+0000,TRXUSDT,Layer-1,25,0.7787128712871287,0.7787128712871287,0.7787128712871287,0.6718797449134528,0.7787128712871287,3.0,0.11241,0.11127,0.25,2.224001423360911,21,0.0007503884027566499,0.0002296817894005204,-0.0025353616226314324,-0.002833840405657845,1.951563910473908e-17,-0.002083452002901195,-0.0033313065652521567,2.7755575615628914e-17,-0.002580918162495507,-0.003828772724846524,1.0842021724855044e-17,-0.0035990909354460037
development-main-20240415-VETUSDT,main,2024-04-15T00:00:00+0000,2024-04-22T00:00:00+0000,2024-04-13T00:00:00+0000,VETUSDT,Layer-1,25,0.7791674771445245,0.7791674771445245,0.7791674771445245,0.5586381322957199,0.7791674771445245,2.0,0.042996,0.04122,0.25,5.814494371569449,21,-0.0003469483678772444,-0.0005944374970956601,-0.01032654200390734,-0.010620346078704962,3.469446951953614e-17,-0.010967294446582206,-0.01111002573262626,1.734723475976807e-17,-0.011456974100503505,-0.011599705386547587,1.734723475976807e-17,-0.012194142883643247
development-main-20240422-NEARUSDT,main,2024-04-22T00:00:00+0000,2024-04-29T00:00:00+0000,2024-04-20T00:00:00+0000,NEARUSDT,Layer-1,25,0.8844292627384003,0.8844292627384003,0.8844292627384003,2.198147195059187,0.8844292627384003,2.0,6.441,7.04,0.25,0.03881384878124515,21,-0.0004737159210293589,-0.0007105738815440382,0.02324949541996585,0.02293554572271389,1.734723475976807e-17,0.02246182980168453,0.02241231017699119,1.734723475976807e-17,0.02193859425596183,0.02188907463126849,5.204170427930421e-17,0.021178500749724452
development-main-20240429-BNBUSDT,main,2024-04-29T00:00:00+0000,2024-05-06T00:00:00+0000,2024-04-27T00:00:00+0000,BNBUSDT,Layer-1,25,0.9924864639733445,0.9924864639733445,0.9924864639733445,0.851619319947784,0.9924864639733445,2.0,599.65,591.57,0.25,0.0004169098640873843,21,0.0015546391812114408,0.0007773195906057204,-0.0033686317018260248,-0.003666610522804953,-1.3877787807814457e-17,-0.002111971341593512,-0.004163243912282094,1.1275702593849246e-17,-0.0026086047310706533,-0.004659877301759319,0.0,-0.0038825577111535983
development-main-20240429-TRXUSDT,main,2024-04-29T00:00:00+0000,2024-05-06T00:00:00+0000,2024-04-27T00:00:00+0000,TRXUSDT,Layer-1,25,0.8462517680339463,0.8462517680339463,0.8462517680339463,0.7604825658378696,0.8462517680339463,3.0,0.12118,0.12107,0.25,2.063046707377455,21,-0.0001094981880727018,-0.00028518176934271336,-0.00022693513781152364,-0.0005267989767288039,2.710505431213761e-17,-0.0006362971648015057,-0.0010265721777520942,-2.190088388420719e-17,-0.001136070365824796,-0.0015263453787753567,1.4094628242311558e-17,-0.0018115271481180702
development-main-20240506-NEARUSDT,main,2024-05-06T00:00:00+0000,2024-05-13T00:00:00+0000,2024-05-04T00:00:00+0000,NEARUSDT,Layer-1,25,0.9618780658724598,0.9618780658724598,0.9618780658724598,2.8883852691218137,0.9618780658724598,2.0,7.486,6.882,0.25,0.03339567192091905,20,-0.00042432969547828286,-0.0006364945432174244,-0.020170985840235106,-0.020458883248730936,3.469446951953614e-17,-0.02088321294420922,-0.02093872436548222,-3.469446951953614e-18,-0.021363054060960503,-0.021418565482233476,3.8163916471489756e-17,-0.0220550600254509
development-main-20240513-BNBUSDT,main,2024-05-13T00:00:00+0000,2024-05-20T00:00:00+0000,2024-05-11T00:00:00+0000,BNBUSDT,Layer-1,24,0.9863057059558517,0.9863057059558517,0.9863057059558517,0.9059622690103661,0.9863057059558517,1.0,594.26,574.32,0.25,0.00042069127991115003,22,0.0016120966568158718,0.0008060483284079359,-0.008388584121428316,-0.008683550970955412,3.8163916471489756e-17,-0.0070714543141395395,-0.009175167419984503,0.0,-0.0075630707631686315,-0.009666783869013568,-1.214306433183765e-17,-0.008860735540605631
development-main-20240513-TRXUSDT,main,2024-05-13T00:00:00+0000,2024-05-20T00:00:00+0000,2024-05-11T00:00:00+0000,TRXUSDT,Layer-1,24,0.8932814710042434,0.8932814710042434,0.8932814710042434,0.8226551226551226,0.8932814710042434,3.0,0.12735,0.12112,0.25,1.9630938358853554,22,0.0001596017932098547,-0.00012306345664556348,-0.012230074597565727,-0.012522736552807195,1.734723475976807e-18,-0.012363134759597341,-0.013010513816254371,1.9081958235744878e-17,-0.012850912023044517,-0.013498291079701602,-1.5612511283791264e-17,-0.013621354536347165
development-main-20240520-NEARUSDT,main,2024-05-20T00:00:00+0000,2024-05-27T00:00:00+0000,2024-05-18T00:00:00+0000,NEARUSDT,Layer-1,24,1.0,1.0,1.0,3.772151898734177,1.0,1.0,7.775,7.815,0.25,0.03215434083601286,21,-0.0005348234015450932,-0.0008022351023176397,0.0012861736334405238,0.0009854019292604987,4.7488055154865094e-17,0.00045057852771540553,0.00048411652733121313,-2.0816681711721685e-17,-5.070687421388008e-05,-1.716887459801697e-05,5.2150124496552763e-17,-0.0008194039769156567
development-main-20240520-SOLUSDT,main,2024-05-20T00:00:00+0000,2024-05-27T00:00:00+0000,2024-05-18T00:00:00+0000,SOLUSDT,Layer-1,24,0.8865351863381202,0.8865351863381202,0.8865351863381202,7.502714172917489,0.8865351863381202,3.0,169.852,163.506,0.25,0.001471869627675859,21,-0.0005276221334927084,-0.0007914332002390629,-0.009340484657231002,-0.009634880366436643,2.6020852139652106e-17,-0.010162502499929352,-0.010125545486070225,1.214306433183765e-17,-0.010653167619562934,-0.010616210605703752,5.551115123125783e-17,-0.011407643805942815
development-main-20240527-BNBUSDT,main,2024-05-27T00:00:00+0000,2024-06-03T00:00:00+0000,2024-05-25T00:00:00+0000,BNBUSDT,Layer-1,24,1.0,1.0,1.0,0.9589660217850755,1.0,1.0,600.65,603.4,0.25,0.0004162157662532257,21,-0.0005696003403121793,-0.0008544005104682688,0.0011445933571963551,0.000843906601182054,9.75781955236954e-19,0.0002743062608698746,0.00034276269458088926,-7.26415455565288e-18,-0.00022683764573129008,-0.00015838121202033095,-2.3689817468808272e-17,-0.0010127817224885997
development-main-20240527-ENSUSDT,main,2024-05-27T00:00:00+0000,2024-06-03T00:00:00+0000,2024-05-25T00:00:00+0000,ENSUSDT,Infrastructure,24,0.9079662159482929,0.9079662159482929,0.9079662159482929,1.1901482544237205,0.9079662159482929,3.0,25.787,26.444,0.25,0.009694807461123823,21,-0.0006347356414155058,-0.000952103462123259,0.0063694885019583425,0.006065666808857173,-4.336808689942018e-18,0.005430931167441667,0.005559301142048334,5.204170427930421e-18,0.004924565500632828,0.005052935475239495,1.3877787807814457e-17,0.004100832013116236
development-main-20240603-NEARUSDT,main,2024-06-03T00:00:00+0000,2024-06-10T00:00:00+0000,2024-06-01T00:00:00+0000,NEARUSDT,Layer-1,22,0.8963214762656306,0.8963214762656306,0.8963214762656306,3.565862708719852,0.8963214762656306,3.0,7.196,6.585,0.25,0.03474152306837132,21,-0.000689024766110367,-0.0010335371491655503,-0.021227070594774855,-0.02151433435241798,2.42861286636753e-17,-0.022203359118528346,-0.02199312001806558,0.0,-0.022682144784175948,-0.022471905683713128,2.42861286636753e-17,-0.023505442832878677
development-main-20240610-BNBUSDT,main,2024-06-10T00:00:00+0000,2024-06-17T00:00:00+0000,2024-06-08T00:00:00+0000,BNBUSDT,Layer-1,23,1.0,1.0,1.0,1.8592192343134792,1.0,1.0,673.17,610.66,0.25,0.00037137721526508906,21,2.096624998143114e-06,1.048312499071557e-06,-0.023214789726220708,-0.02350086085238498,3.469446951953614e-18,-0.023498764227386837,-0.02397765999153262,-3.469446951953614e-17,-0.023975563366534475,-0.02445445913068023,-3.469446951953614e-18,-0.024453410818181157
development-main-20240610-SOLUSDT,main,2024-06-10T00:00:00+0000,2024-06-17T00:00:00+0000,2024-06-08T00:00:00+0000,SOLUSDT,Layer-1,23,0.8121285715020761,0.8121285715020761,0.8121285715020761,9.114578660685677,0.8121285715020761,3.0,162.117,151.244,0.25,0.0015420961404417797,21,-0.0004666344895978911,-0.0006999517343968365,-0.016767211335023458,-0.017057151008222443,0.0,-0.017523785497820334,-0.017540393857214204,-3.469446951953614e-18,-0.018007028346812094,-0.018023636706205964,3.469446951953614e-17,-0.0187235884406028
development-main-20240610-XMRUSDT,main,2024-06-10T00:00:00+0000,2024-06-17T00:00:00+0000,2024-06-08T00:00:00+0000,XMRUSDT,PoW,23,0.9473743141865413,0.9473743141865413,0.9188249986425585,0.2298858928701213,0.9473743141865413,2.0,173.91,176.99,0.25,0.0014375251566902422,21,-0.0003918218025684526,-0.0007856283487447666,0.004427577482605971,0.0041249209361164385,3.8163916471489756e-17,0.0037330991335479857,0.00362049601518033,-8.673617379884035e-19,0.0032286742126118773,0.0031160710942441106,-2.862293735361732e-17,0.002330442745499344
development-main-20240617-ENSUSDT,main,2024-06-17T00:00:00+0000,2024-06-24T00:00:00+0000,2024-06-15T00:00:00+0000,ENSUSDT,Infrastructure,22,0.8263698389252303,0.8263698389252303,0.8263698389252303,2.0012773023374635,0.8263698389252303,3.0,24.353,23.237,0.25,0.010265675686773702,20,-0.0003017290986031176,-0.00046937499044974283,-0.011456494066439477,-0.011749620169999614,8.673617379884035e-18,-0.012051349268602731,-0.012238170549829647,-2.949029909160572e-17,-0.012539899648432764,-0.012726720929659624,-1.0408340855860843e-17,-0.013196095920109367
development-main-20240624-BNBUSDT,main,2024-06-24T00:00:00+0000,2024-07-01T00:00:00+0000,2024-06-22T00:00:00+0000,BNBUSDT,Layer-1,23,0.865765224652437,0.865765224652437,0.865765224652437,1.5006558625650572,0.865765224652437,3.0,577.41,582.64,0.25,0.00043296790841862806,22,-0.0,-0.0,0.0022644221610294557,0.001963063507732843,2.7755575615628914e-17,0.001963063507732843,0.0014608004442250855,-1.5829351718288365e-17,0.0014608004442250855,0.0009585373807173281,-1.0408340855860843e-17,0.0009585373807173281
development-main-20240624-XMRUSDT,main,2024-06-24T00:00:00+0000,2024-07-01T00:00:00+0000,2024-06-22T00:00:00+0000,XMRUSDT,PoW,23,0.9397787560672761,0.9322024409360653,0.9041103328446544,0.06471001982223923,0.9322024409360653,1.0,164.17,168.24,0.25,0.0015228117195589938,22,-0.0005131600902767223,-0.0008011714126232853,0.006197843698605154,0.005894124992385952,-2.3418766925686896e-17,0.0053809649021092296,0.005387930867393587,-2.949029909160572e-17,0.004874770777116864,0.004881736742401166,-4.85722573273506e-17,0.004080565329777881
development-main-20240701-ENSUSDT,main,2024-07-01T00:00:00+0000,2024-07-08T00:00:00+0000,2024-06-29T00:00:00+0000,ENSUSDT,Infrastructure,20,0.9050080889076457,0.9050080889076457,0.9050080889076457,1.7230687830687832,0.9050080889076457,2.0,30.685,23.329,0.25,0.008147303242626691,21,-0.0002963086944040704,-0.0004799182963896156,-0.05993156265276192,-0.06019560371517024,2.0816681711721685e-17,-0.060491912409574314,-0.06063570811145508,6.938893903907228e-18,-0.06093201680585915,-0.06107581250773994,-6.938893903907228e-18,-0.06155573080412956
development-main-20240708-TRXUSDT,main,2024-07-08T00:00:00+0000,2024-07-15T00:00:00+0000,2024-07-06T00:00:00+0000,TRXUSDT,Layer-1,21,0.9187411598302687,0.9187411598302687,0.9187411598302687,0.6230634682658671,0.9187411598302687,1.0,0.12452,0.13746,0.25,2.00770960488275,21,-0.0001837013266870784,-0.00042665833690963307,0.02597976228718274,0.025664174429810505,4.5102810375396984e-17,0.025480473103123426,0.0251382102553806,-5.898059818321144e-17,0.02495450892869352,0.024612246080950806,3.469446951953614e-18,0.024185587744041174
development-main-20240708-XMRUSDT,main,2024-07-08T00:00:00+0000,2024-07-15T00:00:00+0000,2024-07-06T00:00:00+0000,XMRUSDT,PoW,21,0.8931030590360086,0.8859030343746501,0.8592061682141501,-0.053871449925261494,0.8859030343746501,3.0,148.44,159.62,0.25,0.0016841821611425492,21,-0.00034407585917910937,-0.0006447439056606946,0.01882915656157369,0.018517859067636755,-1.0408340855860843e-17,0.018173783208457646,0.0179990412085691,-5.551115123125783e-17,0.01765496534938999,0.0174802233495015,-3.469446951953614e-18,0.016835479443840805
development-main-20240715-ENSUSDT,main,2024-07-15T00:00:00+0000,2024-07-22T00:00:00+0000,2024-07-13T00:00:00+0000,ENSUSDT,Infrastructure,21,0.8913624534008581,0.8913624534008581,0.8913624534008581,1.5757113821138211,0.8913624534008581,2.0,26.322,27.306,0.25,0.00949775852898716,21,-0.000467131331343743,-0.0007006969970156144,0.009345794392523366,0.009040186915887927,5.898059818321144e-17,0.008573055584544183,0.00853084672897203,1.3877787807814457e-17,0.008063715397628287,0.008021506542056134,3.8163916471489756e-17,0.007320809545040519
development-main-20240722-TRXUSDT,main,2024-07-22T00:00:00+0000,2024-07-29T00:00:00+0000,2024-07-20T00:00:00+0000,TRXUSDT,Layer-1,21,0.9517680339462519,0.9517680339462519,0.9517680339462519,0.6052003816793894,0.9517680339462519,1.0,0.13414,0.13845,0.25,1.8637244669748023,20,0.0001346913241790293,-0.0001775591829391867,0.008032652452661382,0.007727832861189776,1.3010426069826053e-17,0.007862524185368806,0.00721980502832853,-6.505213034913027e-17,0.007354496352507559,0.006711777195467394,2.0816681711721685e-17,0.006534218012528207
development-main-20240722-XMRUSDT,main,2024-07-22T00:00:00+0000,2024-07-29T00:00:00+0000,2024-07-20T00:00:00+0000,XMRUSDT,PoW,21,0.9213229484140423,0.9138954204456388,0.8863549980995821,0.006473888649115356,0.9138954204456388,3.0,164.67,164.5,0.25,0.001518187890933382,20,-0.0004268766531471203,-0.0006685830072530179,-0.0002580919414586491,-0.0005579370862937583,2.2442984970449942e-17,-0.0009848137394408785,-0.0010576791492074578,-6.5052130349130266e-18,-0.001484555802354578,-0.0015574212121212128,-4.9873299934333204e-18,-0.0022260042193742308
development-main-20240729-ENSUSDT,main,2024-07-29T00:00:00+0000,2024-08-05T00:00:00+0000,2024-07-27T00:00:00+0000,ENSUSDT,Infrastructure,21,0.9402827600759653,0.9402827600759653,0.9402827600759653,1.8098791382028376,0.9402827600759653,3.0,26.543,18.539,0.25,0.009418679124439588,22,-0.0003057830173020627,-0.0004742130090748211,-0.07538710771201446,-0.07564187544738724,0.0,-0.0759476584646893,-0.07606653357193985,-2.7755575615628914e-17,-0.07637231658924191,-0.07649119169649249,-1.3877787807814457e-17,-0.07696540470556731
development-main-20240729-SOLUSDT,main,2024-07-29T00:00:00+0000,2024-08-05T00:00:00+0000,2024-07-27T00:00:00+0000,SOLUSDT,Layer-1,21,0.9462415938173716,0.9462415938173716,0.9462415938173716,6.309630748439922,0.9462415938173716,2.0,184.808,138.291,0.25,0.0013527552919787023,22,-0.00038466823082162604,-0.0005803710731273787,-0.06292611791697328,-0.06318836224622307,4.163336342344337e-17,-0.0635730304770447,-0.06362547388397688,-1.3877787807814457e-17,-0.06401014211479851,-0.06406258552173064,1.3877787807814457e-17,-0.06464295659485801
development-main-20240805-TRXUSDT,main,2024-08-05T00:00:00+0000,2024-08-12T00:00:00+0000,2024-08-03T00:00:00+0000,TRXUSDT,Layer-1,21,0.8867751060820368,0.8867751060820368,0.8867751060820368,0.6179354838709679,0.8867751060820368,2.0,0.1263,0.12763,0.25,1.9794140934283453,21,0.00045728843205146484,0.00011623411409718926,0.002632620744259684,0.002331041171813153,1.3444106938820255e-17,0.002788329603864618,0.0018284101306413891,3.469446951953614e-17,0.002285698562692854,0.0013257790894695143,-8.673617379884035e-19,0.0014420132035667034
development-main-20240805-XRPUSDT,main,2024-08-05T00:00:00+0000,2024-08-12T00:00:00+0000,2024-08-03T00:00:00+0000,XRPUSDT,Payment,21,0.8615289192122809,0.8375037684654808,0.7583947583947583,-0.11599045346062042,0.8375037684654808,3.0,0.5227,0.5525,0.25,0.4782858236081882,21,-0.00011927510489659461,-0.00025151565062837193,0.01425291754352398,0.013944365792997904,3.9898639947466563e-17,0.013825090688101309,0.013430121427204844,-5.0306980803327406e-17,0.013310846322308249,0.01291587706141184,-2.949029909160572e-17,0.012664361410783469
development-main-20240805-ZECUSDT,main,2024-08-05T00:00:00+0000,2024-08-12T00:00:00+0000,2024-08-03T00:00:00+0000,ZECUSDT,PoW,21,0.9267580974613364,0.9267580974613364,0.48666870977627946,0.08618331053351591,0.9267580974613364,1.0,30.76,41.04,0.25,0.00812743823146944,21,-0.0005547103279990247,-0.000832065491998537,0.08355006501950585,0.0831999349804941,-1.3877787807814457e-17,0.08264522465249508,0.08261643504551358,-4.163336342344337e-17,0.08206172471751455,0.08203293511053317,2.7755575615628914e-17,0.08120086961853464
development-main-20240819-TRXUSDT,main,2024-08-19T00:00:00+0000,2024-08-26T00:00:00+0000,2024-08-17T00:00:00+0000,TRXUSDT,Layer-1,20,0.953041018387553,0.953041018387553,0.953041018387553,0.8196057250877666,0.953041018387553,2.0,0.13508,0.16629,0.25,1.8507551080840983,21,-0.0003416361638262511,-0.0005962493227829804,0.057762066923304656,0.05742740968315074,4.163336342344337e-17,0.05708577351932449,0.05686968227346756,0.0,0.05652804610964131,0.05631195486378443,1.3877787807814457e-17,0.05571570554100145
development-main-20240819-ZECUSDT,main,2024-08-19T00:00:00+0000,2024-08-26T00:00:00+0000,2024-08-17T00:00:00+0000,ZECUSDT,PoW,20,1.0,1.0,0.7844160518265252,0.7513057452792287,1.0,1.0,42.75,39.77,0.25,0.005847953216374269,21,-0.0004946696062535303,-0.0007420044093802956,-0.01742690058479529,-0.017716444444444424,0.0,-0.018211114050697953,-0.018199027999999978,-2.42861286636753e-17,-0.018693697606253508,-0.01868161155555556,3.469446951953614e-18,-0.019423615964935855
development-main-20240826-AAVEUSDT,main,2024-08-26T00:00:00+0000,2024-09-02T00:00:00+0000,2024-08-24T00:00:00+0000,AAVEUSDT,DeFi,20,1.0,1.0,1.0,1.4173283924475033,1.0,1.0,135.41,120.56,0.25,0.0018462447382024962,20,-9.976296584686582e-05,-0.00020577266519929458,-0.02741673436230707,-0.02770028432168964,3.469446951953614e-17,-0.027800047287536506,-0.02817288403736798,-3.8163916471489756e-17,-0.028272647003214847,-0.028645483753046264,-3.469446951953614e-18,-0.02885125641824556
development-main-20240902-TRXUSDT,main,2024-09-02T00:00:00+0000,2024-09-09T00:00:00+0000,2024-08-31T00:00:00+0000,TRXUSDT,Layer-1,20,0.9923173803526448,0.9923173803526448,0.9923173803526448,1.047025201351,0.9923173803526448,1.0,0.15555,0.15315,0.25,1.6072002571520412,22,0.00023884879900723237,-0.00011153021706356483,-0.0038572806171648655,-0.004154966248794578,-1.734723475976807e-18,-0.003916117449787346,-0.00465111128254575,-2.0816681711721685e-17,-0.0044122624835385175,-0.005147256316297005,1.1275702593849246e-17,-0.00525878653336057
development-main-20240909-XMRUSDT,main,2024-09-09T00:00:00+0000,2024-09-16T00:00:00+0000,2024-09-07T00:00:00+0000,XMRUSDT,PoW,20,0.9463257704029799,0.9386966745045346,0.9104088613780746,0.169817902741924,0.9386966745045346,2.0,171.91,170.12,0.25,0.0014542493165028213,21,-0.00036441916213280213,-0.0006521314565375778,-0.002603106276540035,-0.0029015444127740986,1.5612511283791264e-17,-0.003265963574906901,-0.003398942868361343,-5.2909066017292616e-17,-0.0037633620304941455,-0.0038963413239485323,1.6479873021779667e-17,-0.00454847278048611
development-main-20240916-AAVEUSDT,main,2024-09-16T00:00:00+0000,2024-09-23T00:00:00+0000,2024-09-14T00:00:00+0000,AAVEUSDT,DeFi,20,1.0,1.0,1.0,1.3669259384511325,1.0,1.0,143.29,162.08,0.25,0.0017447135180403378,21,-0.00016547683301098854,-0.00035105987015745843,0.03278316700397799,0.03246349710377561,1.3877787807814457e-17,0.032298020270764616,0.03193073360667181,-4.163336342344337e-17,0.03176525677366082,0.031397970109568074,2.0816681711721685e-17,0.031046910239410617
development-main-20240923-TRXUSDT,main,2024-09-23T00:00:00+0000,2024-09-30T00:00:00+0000,2024-09-21T00:00:00+0000,TRXUSDT,Layer-1,21,0.9564231738035264,0.9564231738035264,0.9564231738035264,0.8171811438143095,0.9564231738035264,3.0,0.15168,0.15635,0.25,1.6482067510548521,21,0.00034575011659398076,-0.00014959280961044638,0.00769712552742613,0.007392507252109715,4.423544863740858e-17,0.007738257368703695,0.006884814744857581,-8.673617379884035e-19,0.007230564861451562,0.006377122237605448,0.0,0.006227529427995002
development-main-20240923-XMRUSDT,main,2024-09-23T00:00:00+0000,2024-09-30T00:00:00+0000,2024-09-21T00:00:00+0000,XMRUSDT,PoW,21,0.9980810475222937,0.990034710558728,0.9601998153879568,0.24895825976410757,0.990034710558728,2.0,176.41,153.11,0.25,0.0014171532226064283,21,-0.0006415502667952926,-0.0009623254001929392,-0.03301967008672976,-0.033299858284677686,2.7755575615628914e-17,-0.03394140855147298,-0.033766858426393015,-6.938893903907228e-18,-0.03440840869318831,-0.034233858568108344,2.0816681711721685e-17,-0.035196183968301285
