config_id,selected_candidate,direction,channel_lookback_15m,confirmation_bars_1m,max_entry_extension_atr,raw_trigger_count,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:20:3:0.25,True,LONG,20,3,0.25,5556,1626,-0.0014660990352582056,-0.002098358523800527,0.33210332103321033,-0.9114668541145452,-0.9162263714412611,0.00017120960114147443,-0.001968399778773114,-0.0011845124961102527,-0.0009447658268027834,516,-0.003518700842017405,-0.004111365561204573,0.27906976744186046,-0.8413746523567551,-0.8441356293730682,0.00040940281318282333,-0.004113560164892193,-0.0018448593670052453,-0.002271687411036526,222,-0.005427757660728762,-0.005686455101387944,0.2747747747747748,-0.7049472586245209,-0.7103294439692698,0.0007071970887677187,-0.00587358712141755,-0.00341932542482978,-0.004103467255459025
LONG:20:3:0.5,True,LONG,20,3,0.5,10917,2369,-0.0015525480564365483,-0.0022041488673517277,0.31701139721401433,-0.9761159698010065,-0.9773024925459722,0.00013830890167973643,-0.002009196569032509,-0.0012543409997202775,-0.0012286797213059222,1551,-0.0032322350483134296,-0.004084976741492641,0.2624113475177305,-0.9936953232029242,-0.9937105179889641,0.00019341947862934114,-0.003847847633673256,-0.0024839419748745335,-0.002588586360889201,1097,-0.004366030918460828,-0.005237808189137463,0.24703737465815861,-0.9920692979016795,-0.9920692979016795,0.00024729839029752457,-0.00493145177179519,-0.0033037379602085357,-0.003479176007353099
LONG:32:1:0.25,True,LONG,32,1,0.25,9716,2192,-0.001501983195655687,-0.0025063171473536433,0.3398722627737226,-0.9649136318266716,-0.9678502148066968,0.00015150314677462445,-0.001533929663878987,-0.0016887607413161902,-0.0012649832481026176,850,-0.0034140822733318486,-0.004455442853453494,0.2788235294117647,-0.9472477862369999,-0.9494397790992851,0.000311986368310587,-0.0034494417261135496,-0.003960670051773249,-0.0015716437451599547,345,-0.005623185675078296,-0.006466165468237443,0.2318840579710145,-0.8598585269172891,-0.8627045207586195,0.0005732850119102157,-0.005653738674746494,-0.006892978032002865,0.00021485065513508108
LONG:32:1:0.5,True,LONG,32,1,0.5,15580,2666,-0.001521525633289831,-0.002485570581496484,0.32820705176294074,-0.9838525542118636,-0.9848279713407193,0.00013683309256062932,-0.0015823436949224082,-0.001614947473203398,-0.001362589935312964,2000,-0.003205316478774864,-0.0049123900972863205,0.269,-0.9984677303788728,-0.9984863159904969,0.00017311035749487282,-0.0032378417657332394,-0.003325463410612294,-0.002950280888668808,1519,-0.0043442962496939,-0.006140594819147506,0.2488479262672811,-0.9987257212801648,-0.9987257212801648,0.00021190008314276223,-0.004399907110991474,-0.004563125410094141,-0.0035765511151252434
LONG:32:2:0.25,True,LONG,32,2,0.25,5389,1527,-0.0016936519788061661,-0.0025570494664821112,0.32612966601178783,-0.9278214549546979,-0.9297567276490902,0.00018570052021189978,-0.002109749103661399,-0.001453426166223785,-0.0012710571290130224,519,-0.0037936901931404834,-0.004760070505238038,0.26204238921001927,-0.8641314717933143,-0.8681179651887347,0.0004164723569088739,-0.004348502602115304,-0.0031143150065785865,-0.000423452499188095,207,-0.006025886241443817,-0.0075811152451887645,0.2608695652173913,-0.7175047973161115,-0.7243337590933432,0.0007765026498104899,-0.006440595151942866,-0.00577450384072377,0.0003593343989678662
LONG:32:2:0.5,True,LONG,32,2,0.5,10090,2059,-0.0016114867817152729,-0.0024810600516153593,0.32685769791160757,-0.9656812066378945,-0.9668810002017014,0.0001556160836426604,-0.001959485108227359,-0.0014226008057400296,-0.001324623568074674,1433,-0.0032522781193016835,-0.004797356843503451,0.2735519888346127,-0.9910144878844895,-0.9911356667773304,0.00020681329533924465,-0.003622701752877203,-0.0028857065848660463,-0.0027981499454970984,1049,-0.004403217278935446,-0.005800214165672334,0.2526215443279314,-0.9905894645108312,-0.9906062521570194,0.00025788378344712676,-0.004771053014962902,-0.00411911879817726,-0.0030898896930394233
LONG:32:3:0.25,True,LONG,32,3,0.25,3457,1091,-0.0014925236237746705,-0.0023859897349577156,0.34280476626947753,-0.8096953733607337,-0.8143116149243474,0.00022293024635699517,-0.001923591888542523,-0.0012361063796623958,-0.0010099559369265488,366,-0.003550171196765475,-0.0044509272735627926,0.273224043715847,-0.7325301386947651,-0.73718562503785,0.0005046596250226893,-0.0042769484236324365,-0.001748285620049598,-0.0010570127424167528,150,-0.00565679851870115,-0.0068724633474139644,0.28,-0.5773012998034934,-0.5843479444431187,0.0009501799186795265,-0.006568624554388394,-0.0018413714754996918,-0.002850108878214553
LONG:32:3:0.5,True,LONG,32,3,0.5,7038,1617,-0.0015300994543666752,-0.0024788796536073707,0.3364254792826221,-0.9193099250572776,-0.9222425163732197,0.00017721962827943645,-0.0019397654814120946,-0.0012230216755330623,-0.0012517766187731501,1067,-0.003197698752234492,-0.004398788572775609,0.27928772258669166,-0.9683080999086872,-0.9684258404385175,0.0002450120832617144,-0.0037163920951280172,-0.002555854931640949,-0.0026636503114291945,765,-0.004299502147044231,-0.005237808189137463,0.26143790849673204,-0.9640304595354633,-0.9641013187927407,0.0003133658298505567,-0.004831091386122009,-0.0036916309838516156,-0.002480687167538641
LONG:48:1:0.25,True,LONG,48,1,0.25,7231,1663,-0.0014152748808832088,-0.0025475073070992597,0.35417919422730004,-0.9091862517440376,-0.9160566240935132,0.00017776047653289925,-0.0014517241778498535,-0.0016953971917033955,-0.0010816941961994558,684,-0.0034142935280146156,-0.004282680469537071,0.2777777777777778,-0.9062313449055417,-0.9104228527415561,0.0003428635537447409,-0.003465316578425558,-0.004129566891146098,-0.001156081619481491,265,-0.005934893255936622,-0.0067377263184784115,0.2188679245283019,-0.7966032134487399,-0.8032791302627693,0.0006560401888241009,-0.0062576819462175845,-0.006842774469712949,0.0010266247206392335
LONG:48:1:0.5,True,LONG,48,1,0.5,11804,2046,-0.0014581549183923302,-0.0025421849158020534,0.34261974584555227,-0.9520964575601635,-0.9553255052251122,0.00015914551671993078,-0.001586320987940199,-0.0016172658514547003,-0.0011437540775613112,1580,-0.0031607968141949064,-0.00483610260599458,0.2740506329113924,-0.993589206921165,-0.993803415797871,0.00019545609498830479,-0.003278017305352126,-0.0033226917605716833,-0.0026783984233726393,1221,-0.004322013514270013,-0.006186961245415631,0.24897624897624898,-0.9951582742864195,-0.9951762424457713,0.0002365033764000375,-0.004427125255105442,-0.004597984506571078,-0.003322416695869561
LONG:48:2:0.25,True,LONG,48,2,0.25,4002,1145,-0.001570653024970076,-0.0025771922241676,0.3388646288209607,-0.8397167158285357,-0.8472264149814448,0.00021748053822326181,-0.0017216235392234287,-0.0016437135896000877,-0.0012318627648394025,399,-0.0035954880493103076,-0.004318728085339255,0.2706766917293233,-0.7664011994757637,-0.7783043884987493,0.0004612182619064696,-0.004091287077901877,-0.0033596320699792923,0.00023470947780597455,152,-0.006294736854491097,-0.007639298431187104,0.2565789473684211,-0.6204897637004322,-0.6332737917946691,0.0008837196750275301,-0.006698664157386604,-0.007002364424150231,0.0020009429979552687
LONG:48:2:0.5,True,LONG,48,2,0.5,7635,1563,-0.0014674346384765872,-0.0024966887422869207,0.3467690339091491,-0.9032503764929591,-0.9065065641496471,0.0001817197788468284,-0.0017057833112881355,-0.0014261206613416122,-0.0011573634619906372,1127,-0.003200025998456388,-0.004696859168536446,0.27506654835847383,-0.9739211726873833,-0.9747052069277996,0.0002324847779813584,-0.0034856691827159073,-0.0029493437211722223,-0.0027886103628186015,827,-0.004298591804530185,-0.005717071352389529,0.25151148730350664,-0.9724325142513892,-0.972910216151698,0.00028817722986162087,-0.00461662928096812,-0.004351411335807014,-0.002581468080227913
LONG:48:3:0.25,True,LONG,48,3,0.25,2561,820,-0.001389533233864128,-0.002265878406656821,0.3621951219512195,-0.687411944556795,-0.7074484059953766,0.00025960561818718855,-0.0016525725620324871,-0.001275965667522735,-0.0010097727539753203,288,-0.003665703100601593,-0.004393331605120189,0.2708333333333333,-0.6569022735923884,-0.6642121090608143,0.0005389699929081194,-0.004236546119000012,-0.0025067971382514535,-0.001281289850215311,110,-0.005875766540346623,-0.006236458567574503,0.2909090909090909,-0.4807475650000582,-0.4975877290724696,0.0010845347425011012,-0.00654730415819051,-0.0038163635288456757,-0.00036925249953535235
LONG:48:3:0.5,True,LONG,48,3,0.5,5336,1244,-0.0015250498832847267,-0.002520028064027471,0.34726688102893893,-0.8551200115131352,-0.866090978152533,0.00020718863063065636,-0.0018273221373265513,-0.0013323442981430153,-0.0012479702126409415,851,-0.0032432679584486605,-0.004459318873548822,0.2808460634547591,-0.9386936205188577,-0.9410909231687505,0.0002743999586874988,-0.003693637882471344,-0.002753364984498363,-0.0026279361775493957,612,-0.0042461862519588165,-0.005148269256256062,0.2696078431372549,-0.9276778679511208,-0.9299803351794635,0.00034517470905189414,-0.004719510408592703,-0.0039594466452545374,-0.0020749589625346444
LONG:4:1:0.25,True,LONG,4,1,0.25,56724,9371,-0.0013764864499791957,-0.001651891773270336,0.32600576245864904,-0.999997917920278,-0.9999981776485816,6.297378273392207e-05,-0.0016017413852452782,-0.001325354441545921,-0.0011818647926146984,3564,-0.0032319296243484468,-0.0036008075515568307,0.28114478114478114,-0.9999913437744292,-0.9999919269386148,0.00013720704276226986,-0.0034939191427521762,-0.0029619398994731407,-0.00239470508906478,1456,-0.004712091006441055,-0.004807979454142453,0.26854395604395603,-0.9990436841871453,-0.9990637043096783,0.000265929965165024,-0.004912157808164892,-0.004415913065787065,-0.0030453069593130546
LONG:4:1:0.5,True,LONG,4,1,0.5,80914,10343,-0.00138147179356794,-0.0016503352055570989,0.320216571594315,-0.9999994890333375,-0.9999995584094105,5.9355778317423955e-05,-0.0016459436664405312,-0.0013283260864322818,-0.0011667076267176842,8175,-0.0030506280224764626,-0.0035106503928330037,0.23314984709480122,-0.9999999999880788,-0.9999999999886365,7.240353827725177e-05,-0.003297023324177711,-0.002956843515910216,-0.0027560934794357635,6219,-0.004066352627427558,-0.004666859671550814,0.20903682264029586,-0.9999999999915699,-0.9999999999915699,9.046966876505808e-05,-0.004298812586754396,-0.003945087335170585,-0.00356261961578257
LONG:4:2:0.25,True,LONG,4,2,0.25,34564,7045,-0.0014203005226868905,-0.0016423108671316372,0.32178850248403124,-0.9999605473239287,-0.9999635359265358,7.158054671981391e-05,-0.001650195119470579,-0.0013700873310783213,-0.0012132162131977455,2305,-0.0033681943039193672,-0.00360377441309289,0.28329718004338394,-0.9996125206176273,-0.9996139431429686,0.0001721574017033932,-0.0036385338958334935,-0.0031442770318494454,-0.00218316217888454,910,-0.004785148018025072,-0.004683632701543233,0.2956043956043956,-0.9878904190061462,-0.9883531272847538,0.00034228571283712234,-0.004836596255224624,-0.005085636115068674,-0.0019085396546063807
LONG:4:2:0.5,True,LONG,4,2,0.5,55715,8467,-0.00139827541283654,-0.0016755237625996865,0.3185307665052557,-0.9999938487411502,-0.999994665397469,6.496361030160898e-05,-0.0016873009702004981,-0.0013470933658911689,-0.0011536654470929305,6320,-0.003073444321953306,-0.0035467897064476485,0.23338607594936708,-0.9999999968987546,-0.999999997016636,8.280235870315648e-05,-0.003274812088070372,-0.0030347665943443883,-0.0027554190338751035,4590,-0.004091445737120046,-0.004604094875131885,0.21176470588235294,-0.999999994026381,-0.999999994026381,0.00010541359243733804,-0.0042884716737025125,-0.004015323264186965,-0.0035515148646342617
LONG:4:3:0.25,True,LONG,4,3,0.25,23473,5477,-0.0014287172821283117,-0.001630841522528999,0.32298703669892276,-0.9996400718167612,-0.9996691752325714,8.117527310874129e-05,-0.0016298605291903924,-0.0014119510388341094,-0.001215970968956713,1676,-0.0033565308974058397,-0.0035097559803343725,0.2822195704057279,-0.9966391902302608,-0.9967116678761392,0.00020728722707513423,-0.003547241183202869,-0.0032423382079334304,-0.002329138374762138,660,-0.004668125711098069,-0.0047864090086436675,0.30454545454545456,-0.9561055104580195,-0.9576719253813488,0.00041541813131995906,-0.004496164030172859,-0.005514938085649772,-0.002429664261944011
LONG:4:3:0.5,True,LONG,4,3,0.5,40793,7108,-0.0013885805591160427,-0.001715257365484056,0.3144344400675295,-0.9999547479405281,-0.9999607635980037,7.070272444416984e-05,-0.0016234169236681003,-0.0013541706353005197,-0.0011830378878326055,5036,-0.0030724767110970387,-0.003473499386832813,0.23371723590150914,-0.9999998333405639,-0.9999998333405639,9.318494140095522e-05,-0.0032618823342018826,-0.0030921666280760464,-0.002677757328678945,3554,-0.00407775401817179,-0.004468920674400675,0.2124366910523354,-0.9999995506880084,-0.9999995506880084,0.00012141914646628894,-0.004288587797557122,-0.003987788907979477,-0.0034961724027315205
