method,block_weeks,eligible_weeks,effect,critical_mean,mean_gate_power,mean_gate_wilson_low,mean_gate_wilson_high,joint_power,joint_wilson_low,joint_wilson_high,draws
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,312,0.0025,0.00513171899076,0.17084,0.166225220837,0.175555919989,0.16472,0.160173593032,0.169369428283,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,312,0.005,0.00513171899076,0.47112,0.464937307884,0.477311566059,0.46228,0.456105978867,0.468465611338,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,312,0.0075,0.00513171899076,0.80516,0.800203532976,0.810022700666,0.79828,0.793260065278,0.803208282379,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,312,0.01,0.00513171899076,0.96784,0.965580165451,0.96995608159,0.96684,0.964547750692,0.968988803619,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,416,0,0.0045046797036,0.03212,0.030005238842,0.0343785264075,0.03032,0.0282656183987,0.0325186999359,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,416,0.0025,0.0045046797036,0.2022,0.197267227862,0.207224276993,0.19556,0.190690327168,0.200523217955,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,416,0.005,0.0045046797036,0.57988,0.573749842221,0.585985613092,0.57208,0.565936178202,0.578201673813,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,416,0.0075,0.0045046797036,0.89972,0.895934975212,0.903382203027,0.89568,0.891829893634,0.899408525974,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,416,0.01,0.0045046797036,0.99228,0.99111688354,0.993291853835,0.99184,0.990646787175,0.992882085398,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,520,0,0.0040598525505,0.02972,0.0276861785471,0.0318983241492,0.02848,0.0264893978334,0.0306154858771,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,520,0.0025,0.0040598525505,0.22708,0.221928962602,0.232314897388,0.2208,0.215701465803,0.225984323839,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,520,0.005,0.0040598525505,0.66876,0.662900218758,0.674567926443,0.66024,0.654344739783,0.666086023354,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,520,0.0075,0.0040598525505,0.95316,0.950470450223,0.955710307535,0.95128,0.948541357232,0.953879978192,25000
