trade_id,stage,kind,symbol,category,decision_time,entry_time,exit_time,formation_days,hold_days,top_categories,own_formation_return,target_median_quote_volume_30d,category_score,category_rank,rankable_categories,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_price_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,favorable_after_hurdle_return,base_price_cost_return,base_reconciliation_error,base_net_return,base_after_hurdle_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return,stress_after_hurdle_return
development-category-UNIUSDT-20230122-14-7-2,development,category,UNIUSDT,DeFi,2023-01-21T00:00:00Z,2023-01-22T00:00:00Z,2023-01-29T00:00:00Z,14,7,2,0.23152254249815218,30402073.039499998,0.49243951591587914,1,7,6.666,6.633,0.075007500750075,20,-0.0010432259398439846,-0.0015648389097659768,-0.0024752475247524774,-0.0030737623762375765,7.45931094670027e-17,-0.004116988316081561,-0.004865788017611172,-0.004071288613861357,-1.3877787807814457e-17,-0.005114514553705342,-0.005862564219999755,-0.005068814851485137,3.0357660829594124e-17,-0.006633653761251114,-0.007380561193998103
development-category-UNIUSDT-20230130-14-7-2,development,category,UNIUSDT,DeFi,2023-01-29T00:00:00Z,2023-01-30T00:00:00Z,2023-02-06T00:00:00Z,14,7,2,0.05080376099484374,43936685.2005,0.2461228311511059,2,7,6.93,6.891,0.07215007215007216,21,-0.0010428536382395385,-0.0015642804573593077,-0.0028138528138527685,-0.0034121645021644165,6.461844948013606e-17,-0.004455018140403955,-0.005203563678915835,-0.004409352337662431,-1.0842021724855044e-16,-0.005452205975901969,-0.006200001733621563,-0.005406540173160113,5.117434254131581e-17,-0.0069708206305194205,-0.007717474549100545
development-category-UNIUSDT-20230208-14-7-2,development,category,UNIUSDT,DeFi,2023-02-07T00:00:00Z,2023-02-08T00:00:00Z,2023-02-15T00:00:00Z,14,7,2,0.10976965845909459,53334794.660500005,0.2900234481737779,2,7,6.986,6.584,0.071571714858288,21,-0.0009346400444571288,-0.0014019600666856928,-0.0287718293730318,-0.029354566275407945,2.42861286636753e-17,-0.030289206319865074,-0.03101832725511433,-0.030325811709132566,-3.122502256758253e-17,-0.03126045175358969,-0.03198884241401512,-0.03129705714285719,-2.0816681711721685e-17,-0.03269901720954288,-0.03342632621944175
development-category-UNIUSDT-20230226-14-7-2,development,category,UNIUSDT,DeFi,2023-02-25T00:00:00Z,2023-02-26T00:00:00Z,2023-03-05T00:00:00Z,14,7,2,-0.0013897467572576705,51637396.9375,0.024978965944793364,2,7,6.466,6.159,0.07732755954222084,21,-0.0010528028067958938,-0.001579204210193841,-0.02373956077946182,-0.024325317042994177,-2.42861286636753e-17,-0.02537811984979007,-0.026110933407606285,-0.0253015917259512,-5.551115123125783e-17,-0.026354394532747093,-0.02708647403427089,-0.026277866408908113,3.469446951953614e-17,-0.027857070619101955,-0.028588020265620906
development-category-UNIUSDT-20230406-14-7-2,development,category,UNIUSDT,DeFi,2023-04-05T00:00:00Z,2023-04-06T00:00:00Z,2023-04-13T00:00:00Z,14,7,2,0.026367831245880158,61121371.9605,0.06384245439349993,2,7,6.227,5.946,0.08029548739360848,20,-0.000707014209840196,-0.001068955416418436,-0.022563031957604007,-0.023149494138429427,4.163336342344337e-17,-0.023856508348269623,-0.0245904659985392,-0.024126944644290937,1.0408340855860843e-17,-0.024833958854131134,-0.02556718156401261,-0.02510439515015256,1.0408340855860843e-17,-0.026173350566570996,-0.026905566194192154
development-category-UNIUSDT-20230414-14-7-2,development,category,UNIUSDT,DeFi,2023-04-13T00:00:00Z,2023-04-14T00:00:00Z,2023-04-21T00:00:00Z,14,7,2,0.05292620865139952,48499750.66500001,0.10343007702638571,2,7,6.208,5.781,0.08054123711340205,21,-0.0010447536673646905,-0.001567130501047036,-0.0343911082474227,-0.03497047358247429,-2.7755575615628914e-17,-0.03601522724983899,-0.03674004281717547,-0.03593610310889167,3.469446951953614e-17,-0.036980856776256364,-0.03770494629134313,-0.036901732635309326,-4.85722573273506e-17,-0.03846886313635636,-0.03919183382653568
development-category-UNIUSDT-20230506-14-7-2,development,category,UNIUSDT,DeFi,2023-05-05T00:00:00Z,2023-05-06T00:00:00Z,2023-05-13T00:00:00Z,14,7,2,0.013906678865507782,41813215.6565,0.05543691377506969,1,7,5.542,5.192,0.09022013713460844,21,-0.000771453524583246,-0.0011918594956442667,-0.03157704799711292,-0.032158101768314684,-2.7755575615628914e-17,-0.03292955529289793,-0.033656690962307834,-0.03312654366654638,-9.71445146547012e-17,-0.033897997191129625,-0.03462440469368078,-0.03409498556477808,-1.3877787807814457e-17,-0.035286845060422345,-0.03601220829486396
development-category-UNIUSDT-20230521-14-7-2,development,category,UNIUSDT,DeFi,2023-05-20T00:00:00Z,2023-05-21T00:00:00Z,2023-05-28T00:00:00Z,14,7,2,0.0007570022710068347,38993404.745,0.031264943099066224,1,7,5.289,5.039,0.09453582907922103,21,-0.0008254373034015884,-0.0012381559551023825,-0.023633957269805272,-0.0242197768954433,7.632783294297951e-17,-0.025045214198844888,-0.02577827806683719,-0.02519615711854789,-1.0408340855860843e-17,-0.026021594421949477,-0.02675392415429423,-0.02617253734165248,-1.0408340855860843e-17,-0.027410693296754864,-0.028141978572260085
development-category-UNIUSDT-20230529-14-7-2,development,category,UNIUSDT,DeFi,2023-05-28T00:00:00Z,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,14,7,2,0.001168224299065379,35789351.92,0.08777657618692958,2,7,5.142,5.012,0.09723842862699338,20,-0.0009544980378406458,-0.0014317470567609685,-0.01264099572150923,-0.013233411124076278,3.2959746043559335e-17,-0.014187909161916923,-0.01492913658594508,-0.014220777712952215,-6.938893903907228e-17,-0.01517527575079286,-0.01591576077857726,-0.015208144301828153,3.469446951953614e-18,-0.01663989135858912,-0.017379275148861617
development-category-UNIUSDT-20230626-14-7-2,development,category,UNIUSDT,DeFi,2023-06-25T00:00:00Z,2023-06-26T00:00:00Z,2023-07-03T00:00:00Z,14,7,2,0.3361261705273533,39037922.173,0.23136879430089957,2,7,5.422,5.566,0.09221689413500554,20,-0.000745786623014091,-0.0011186799345211363,0.01327923275544085,0.012671265215787653,1.0755285551056204e-16,0.011925478592773561,0.011164616636649471,0.011657993950571766,-5.377642775528102e-17,0.010912207327557674,0.01015210724528015,0.01064472268535599,-2.2551405187698492e-17,0.009526042750834853,0.008766984919112097
development-category-UNIUSDT-20230708-14-7-2,development,category,UNIUSDT,DeFi,2023-07-07T00:00:00Z,2023-07-08T00:00:00Z,2023-07-15T00:00:00Z,14,7,2,0.12674897119341555,62739992.37899999,0.10748824346435164,2,7,5.476,5.87,0.09130752373995617,20,-0.0005329941790865322,-0.0008762937037953205,0.035975164353542755,0.035353579254930656,4.163336342344337e-17,0.034820585075844124,0.03404250839801093,0.034317625675675756,4.163336342344337e-17,0.033784631496589224,0.033007333747326895,0.033281672096420856,2.7755575615628914e-17,0.032405378392625535,0.031629117697214326
development-category-UNIUSDT-20230716-14-7-2,development,category,UNIUSDT,DeFi,2023-07-15T00:00:00Z,2023-07-16T00:00:00Z,2023-07-23T00:00:00Z,14,7,2,0.04027206013960982,60940072.282,0.1248559266796853,2,7,5.812,5.988,0.08602890571231933,21,-0.0009794691547241568,-0.0014871107106208534,0.015141087405368236,0.0145320027529251,1.0408340855860843e-16,0.013552533598200942,0.012790448267154142,0.01351687075017205,-1.9081958235744878e-17,0.012537401595447892,0.0117760795373274,0.012501738747419222,8.326672684688674e-17,0.011014628036798368,0.010254450944876758
development-category-UNIUSDT-20230724-14-7-2,development,category,UNIUSDT,DeFi,2023-07-23T00:00:00Z,2023-07-24T00:00:00Z,2023-07-31T00:00:00Z,14,7,2,0.17397129186602878,68423689.712,0.14111633440177979,1,7,6.134,6.413,0.0815128790348875,20,-0.0008044993394206227,-0.001206749009130934,0.02274209325073362,0.022128447994783196,2.7755575615628914e-17,0.021323948655362572,0.020556020034283584,0.021105719546788415,0.0,0.02030122020736779,0.01953406057094642,0.020082991098793523,-6.245004513516506e-17,0.018876242089662588,0.018110153887513025
development-category-UNIUSDT-20230918-14-7-2,development,category,UNIUSDT,DeFi,2023-09-17T00:00:00Z,2023-09-18T00:00:00Z,2023-09-25T00:00:00Z,14,7,2,-0.02926497277676965,35026331.4085,0.04377627296717992,2,7,4.279,4.233,0.11684973124561814,20,-0.00011056768192208461,-0.00032759876233923814,-0.005375087637298492,-0.005971862584716103,-1.8214596497756474e-17,-0.006082430266638188,-0.006829752161710001,-0.006966490722131347,-1.9949319973733282e-17,-0.007077058404053431,-0.007823632442957695,-0.0079611188595467,-2.949029909160572e-17,-0.00828871762188594,-0.009034380619985183
development-category-UNIUSDT-20230926-14-7-2,development,category,UNIUSDT,DeFi,2023-09-25T00:00:00Z,2023-09-26T00:00:00Z,2023-10-03T00:00:00Z,14,7,2,0.039444850255661024,31548620.8585,0.1105922194921823,2,7,4.269,4.455,0.11712344811431248,20,-0.0003655868838397751,-0.0006677502769562428,0.02178496134926211,0.021171890372452595,4.163336342344337e-17,0.02080630348861282,0.020038764082473737,0.020150118482080148,3.469446951953614e-17,0.01978453159824037,0.019017760457527677,0.0191283465917077,4.163336342344337e-17,0.018460596314751457,0.01769482063468364
development-category-UNIUSDT-20231004-14-7-2,development,category,UNIUSDT,DeFi,2023-10-03T00:00:00Z,2023-10-04T00:00:00Z,2023-10-11T00:00:00Z,14,7,2,-0.01021798365122617,30107189.638499998,0.11328925510372537,1,7,4.358,4.119,0.11473152822395595,20,-0.00013102966931525937,-0.0004391610527244609,-0.027420835245525466,-0.02800438274437811,3.469446951953614e-17,-0.02813541241369337,-0.028866152776340304,-0.028976978361633765,6.938893903907228e-18,-0.029108008030949026,-0.029838017103575587,-0.02994957397888942,-1.734723475976807e-17,-0.03038873503161388,-0.03111778113169794
development-category-UNIUSDT-20231012-14-7-2,development,category,UNIUSDT,DeFi,2023-10-11T00:00:00Z,2023-10-12T00:00:00Z,2023-10-19T00:00:00Z,14,7,2,-0.02849069931716497,26659770.661,0.01837188398409435,2,7,4.125,3.929,0.12121212121212122,20,7.412237192138183e-05,-0.00031776747994242423,-0.023757575757575755,-0.024343321212121183,5.204170427930421e-17,-0.0242691988401998,-0.025002846190450678,-0.02531957789090905,-4.5102810375396984e-17,-0.02524545551898767,-0.02597836882648341,-0.026295834569696974,7.632783294297951e-17,-0.026613602049639397,-0.027345486654263618
development-category-UNIUSDT-20231025-14-7-2,development,category,UNIUSDT,DeFi,2023-10-24T00:00:00Z,2023-10-25T00:00:00Z,2023-11-01T00:00:00Z,14,7,2,0.024277737314882364,30042070.003,0.18020299384180472,2,7,4.218,4.15,0.11853959222380275,20,-0.0009379444366958037,-0.0014069166550437055,-0.008060692271218528,-0.008655855855855765,4.5102810375396984e-17,-0.00959380029255157,-0.010338482005195715,-0.009647799999999929,1.9081958235744878e-17,-0.010585744436695733,-0.011329680311254142,-0.010639744144144092,-1.0408340855860843e-17,-0.012046660799187798,-0.012789498217679274
development-category-UNIUSDT-20231103-14-7-2,development,category,UNIUSDT,DeFi,2023-11-02T00:00:00Z,2023-11-03T00:00:00Z,2023-11-10T00:00:00Z,14,7,2,0.1955193482688391,38633046.273,0.39357695061449316,2,7,4.696,5.12,0.10647359454855196,20,-0.0012255829457067506,-0.0018383744185601256,0.04514480408858612,0.044517717206132845,-7.632783294297951e-17,0.04329213426042609,0.04250768786503922,0.0434725994889269,-6.938893903907228e-18,0.04224701654322015,0.04146335596687578,0.04242748177172062,-6.938893903907228e-17,0.04058910735316049,0.03980669335085363
development-category-UNIUSDT-20231111-14-7-2,development,category,UNIUSDT,DeFi,2023-11-10T00:00:00Z,2023-11-11T00:00:00Z,2023-11-18T00:00:00Z,14,7,2,0.3141933880188914,73379211.0575,0.3387260325443858,2,7,5.286,5.109,0.09458948164964057,20,-0.0019273318959998015,-0.002890997843999702,-0.016742338251986344,-0.01733229284903509,6.245004513516506e-17,-0.019259624745034894,-0.019997038770229736,-0.018315560556186106,-7.979727989493313e-17,-0.02024289245218591,-0.020979567163066704,-0.019298828263337064,3.469446951953614e-18,-0.022189826107336767,-0.022925036928059028
