trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,state_window_weeks,state_mode,selection_mode,current_state_return,previous_state_return,formation_return,market_formation_return,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20210906-ETHUSDT-14-4-up_up-winner,development-20210906,2021-09-06T00:00:00Z,2021-09-13T00:00:00Z,2021-09-05T00:00:00Z,ETHUSDT,14,4,up_up,winner,0.5084716701451979,0.5125784967390803,0.2194404079857093,0.09002247703060157,0.25,3952.56,3405.65,6.325014674034044e-05,22,-0.0010984955202585354,-0.0016477432803878032,-0.03459213775375958,-0.0348713824711073,2.0816681711721685e-17,-0.035969877991365834,-0.035336811088636205,6.938893903907228e-18,-0.03643530660889474,-0.035802239706165084,6.938893903907228e-18,-0.03744998298655289
development-20211025-DOGEUSDT-14-4-up_up-winner,development-20211025,2021-10-25T00:00:00Z,2021-11-01T00:00:00Z,2021-10-24T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.26425031414127,0.10600908696093314,0.20637209912154186,0.1029290741492666,0.25,0.27603,0.28023,0.9056986559431945,21,-0.0024344122858772593,-0.0036516184288158896,0.0038039343549614024,0.0035016519943484314,7.806255641895632e-18,0.0010672397084711721,0.002997850342354058,-3.9898639947466563e-17,0.0005634380564767988,0.0024940486903597403,1.8648277366750676e-17,-0.0011575697384561493
development-20211101-DOGEUSDT-14-4-up_up-winner,development-20211101,2021-11-01T00:00:00Z,2021-11-08T00:00:00Z,2021-10-31T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.15474326803247052,0.26425031414127,0.17725401226787674,0.05478728351874309,0.25,0.28023,0.26679,0.8921243264461336,21,-0.0026710407457236018,-0.004006561118585404,-0.011990150947435996,-0.012282956856867505,2.6020852139652106e-17,-0.014953997602591107,-0.012770973900010668,3.469446951953614e-18,-0.01544201464573427,-0.013258990943153748,1.5612511283791264e-17,-0.017265552061739152
development-20211108-BNBUSDT-14-4-up_up-winner,development-20211108,2021-11-08T00:00:00Z,2021-11-15T00:00:00Z,2021-11-07T00:00:00Z,BNBUSDT,14,4,up_up,winner,0.20590961469021596,0.15474326803247052,0.36381196329967036,0.09690243807632522,0.25,649.56,650.28,0.0003848759160046801,21,0.0008281672061472992,0.0002755251464925856,0.0002771106595234052,-2.305560687232422e-05,9.568084172184577e-18,0.000805111599274975,-0.0005233325512654652,-4.0766001685454967e-17,0.000304834654881834,-0.0010236094956586061,-3.469446951953614e-18,-0.0007480843491660205
development-20211115-BNBUSDT-14-4-up_up-winner,development-20211115,2021-11-15T00:00:00Z,2021-11-22T00:00:00Z,2021-11-14T00:00:00Z,BNBUSDT,14,4,up_up,winner,0.13025169884932075,0.20590961469021596,0.23984592502192914,0.07202602896470363,0.25,650.28,584.25,0.00038444977548133115,21,4.78284630843003e-05,-3.545338759966753e-05,-0.025385218675032295,-0.02566998754382724,2.7755575615628914e-17,-0.02562215908074294,-0.026144617556283417,3.469446951953614e-18,-0.026096789093199117,-0.026619247568739596,1.734723475976807e-17,-0.026654700956339265
development-20220328-ADAUSDT-14-4-up_up-winner,development-20220328,2022-03-28T00:00:00Z,2022-04-04T00:00:00Z,2022-03-27T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.2450149702373119,0.006870968916390607,0.5042593769866499,0.2794143059536797,0.25,1.1831,1.1862,0.21130927225086635,21,-0.0005233121703575353,-0.000784968255536303,0.0006550587439776434,0.0003546657087312721,-1.7889335846010823e-18,-0.0001686464616262632,-0.00014598895697742753,-1.3227266504323154e-17,-0.0006693011273349629,-0.0006466436226861827,1.3769367590565906e-17,-0.0014316118782224858
development-20220404-ADAUSDT-14-4-up_up-winner,development-20220404,2022-04-04T00:00:00Z,2022-04-11T00:00:00Z,2022-04-03T00:00:00Z,ADAUSDT,14,4,up_up,winner,0.27050005549865763,0.2450149702373119,0.3510250569476081,0.18949255821641509,0.25,1.1862,1.0261,0.21075703928511214,22,-0.00033925437789788826,-0.0005426864524218831,-0.033742201989546444,-0.0340219566683527,0.0,-0.03436121104625059,-0.03448823471168436,-4.163336342344337e-17,-0.03482748908958225,-0.034954512755016015,6.938893903907228e-18,-0.0354971992074379
development-20220411-DOGEUSDT-14-4-up_up-winner,development-20220411,2022-04-11T00:00:00Z,2022-04-18T00:00:00Z,2022-04-10T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.19535633232998229,0.27050005549865763,0.024186303641766216,-0.06469346670866842,0.25,0.1482,0.13909,1.6869095816464237,20,-0.00030769587020360994,-0.0005208362545366902,-0.015367746288798945,-0.015658525641025656,-3.469446951953614e-18,-0.015966221511229266,-0.016143167115384632,-1.3877787807814457e-17,-0.016450862985588243,-0.01662780858974358,6.938893903907228e-18,-0.017148644844280272
development-20220725-ETHUSDT-14-4-up_up-winner,development-20220725,2022-07-25T00:00:00Z,2022-08-01T00:00:00Z,2022-07-24T00:00:00Z,ETHUSDT,14,4,up_up,winner,0.07985049540753031,0.06269383003922169,0.3681763300536902,0.12963679360613511,0.25,1597.77,1677.63,0.00015646807738285234,20,-0.00037481247965314536,-0.0005649183615460756,0.012495540659794635,0.012188043335398746,1.5612511283791264e-17,0.0118132308557456,0.011675555292063322,-4.85722573273506e-17,0.011300742812410176,0.011163067248727898,-3.8163916471489756e-17,0.010598148887181823
development-20220801-ETHUSDT-14-4-up_up-winner,development-20220801,2022-08-01T00:00:00Z,2022-08-08T00:00:00Z,2022-07-31T00:00:00Z,ETHUSDT,14,4,up_up,winner,0.22509464960911796,0.07985049540753031,0.25358111591831256,0.14238300153739247,0.25,1677.63,1699.25,0.0001490197480970178,21,-0.0003178077287733992,-0.0004899505194733645,0.0032218069538574867,0.0029198738696851745,-1.9949319973733282e-17,0.0026020661409117754,0.002416653995815532,-6.938893903907228e-18,0.002098846267042133,0.001913434121945834,1.8214596497756474e-17,0.0014234836024724696
development-20220808-BNBUSDT-14-4-up_up-winner,development-20220808,2022-08-08T00:00:00Z,2022-08-15T00:00:00Z,2022-08-07T00:00:00Z,BNBUSDT,14,4,up_up,winner,0.20503214694549987,0.22509464960911796,0.23576706612044873,0.06895570611561845,0.25,322.77,317.59,0.0007745453418843139,21,0.00012691992719640006,6.345996359820003e-05,-0.004012144870960743,-0.004309737584038187,-1.214306433183765e-17,-0.004182817656841787,-0.004805727846454139,-1.214306433183765e-17,-0.004678807919257739,-0.005301718108870063,1.5612511283791264e-17,-0.005238258145271862
development-20220815-DOGEUSDT-14-4-up_up-winner,development-20220815,2022-08-15T00:00:00Z,2022-08-22T00:00:00Z,2022-08-14T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.26091711447962207,0.20503214694549987,0.19955914768552518,0.1018884686247931,0.25,0.08164,0.06926,3.0622243998040175,21,-0.0002595123046264086,-0.00042999217205628374,-0.03791033806957375,-0.038187591866731985,1.3877787807814457e-17,-0.038447104171358396,-0.038649704274865276,-2.0816681711721685e-17,-0.03890921657949169,-0.03911181668299854,6.938893903907228e-18,-0.03954180885505482
development-20220822-DOGEUSDT-14-4-up_up-winner,development-20220822,2022-08-22T00:00:00Z,2022-08-29T00:00:00Z,2022-08-21T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.0037196808628245925,0.26091711447962207,0.005224963715529718,-0.06289182251146001,0.25,0.06926,0.06172,3.609587063239965,22,-3.505887113413224e-05,-0.0002451922873881029,-0.02721628645682936,-0.02749995668495525,6.938893903907228e-18,-0.027535015556089382,-0.027972756728270293,-2.7755575615628914e-17,-0.028007815599404424,-0.028445556771585334,3.122502256758253e-17,-0.02869074905897344
development-20221107-DOGEUSDT-14-4-up_up-winner,development-20221107,2022-11-07T00:00:00Z,2022-11-14T00:00:00Z,2022-11-06T00:00:00Z,DOGEUSDT,14,4,up_up,winner,0.19258613311392292,0.23348248534361438,0.899917149958575,0.24293744190347388,0.25,0.11464,0.08492,2.180739706908583,22,-4.558136347631718e-05,-0.00023975885541815687,-0.06481158408932311,-0.06507269713886954,-2.7755575615628914e-17,-0.06511827850234586,-0.06550792444173065,-1.3877787807814457e-17,-0.06555350580520697,-0.06594315174459178,1.3877787807814457e-17,-0.06618291060000994
