trade_id,slot_id,variant,symbol,signal_time,decision_time,entry_time,exit_time,oi,rolling_q25,rolling_q75,direction,direction_name,six_hour_return,entry_price,exit_price,quantity_per_unit_plan_capital,notional_fraction,funding_events,actual_funding_return,stress_funding_return,maximum_adverse_price_return,gross_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-delayed5-202505151215-BTCUSDT,20250515-B,delayed5,BTCUSDT,2025-05-15T12:15:00Z,2025-05-15T12:16:00Z,2025-05-15T12:21:00Z,2025-05-16T00:21:00Z,-0.335431739099772,-0.15743359402461718,0.35809193094269237,-1,SHORT,-0.002229431421811312,102362.1,103850.1,2.4423101909788874e-06,0.25,2,1.5037973450238513e-05,7.518986725119257e-06,-0.004397867960895696,-0.0036341575641765846,-0.0039363380587151275,-3.729655473350135e-17,-0.003921300085264889,-0.004439974396773766,-9.540979117872439e-18,-0.004424936423323527,-0.004943610734832543,-1.3877787807814457e-17,-0.004936091748107424
development-delayed5-202505161215-BTCUSDT,20250516-B,delayed5,BTCUSDT,2025-05-16T12:15:00Z,2025-05-16T12:16:00Z,2025-05-16T12:21:00Z,2025-05-17T00:21:00Z,-0.796179625716862,-0.16952889874716173,0.341984380107811,-1,SHORT,-0.0033072384078312034,103661.9,103347.4,2.4116864537501243e-06,0.25,2,1.9012560302277164e-05,9.506280151138582e-06,-0.0020795972290687526,0.0007584753897044141,0.0004589304749382239,-1.2847795743953228e-17,0.0004779430352405011,-4.0310594586812076e-05,-9.703609443745265e-18,-2.1298034284534913e-05,-0.0005395516641119036,-2.688821387764051e-17,-0.000530045383960765
development-delayed5-202505171215-BTCUSDT,20250517-B,delayed5,BTCUSDT,2025-05-17T12:15:00Z,2025-05-17T12:16:00Z,2025-05-17T12:21:00Z,2025-05-18T00:21:00Z,0.3598002574473256,-0.18991214189341493,0.3203550422392024,1,LONG,-0.005240562202795562,102944.4,103081.2,2.4284953819731818e-06,0.25,2,-1.8368976092920064e-05,-2.7553464139380096e-05,-0.0008582302679893128,0.00033221816825393835,3.2018837353042784e-05,5.675798372961616e-17,1.364986126012272e-05,-0.0004683131814843533,-1.951563910473908e-18,-0.0004866821575772734,-0.0009686452003217216,2.3852447794681098e-18,-0.0009961986644611018
development-delayed5-202505180015-BTCUSDT,20250518-A,delayed5,BTCUSDT,2025-05-18T00:15:00Z,2025-05-18T00:16:00Z,2025-05-18T00:21:00Z,2025-05-18T12:21:00Z,0.6707560337030478,-0.18991214189341493,0.341984380107811,1,LONG,0.0017995265323393905,103081.2,103766.8,2.4252725036185066e-06,0.25,1,-1.4873491339836945e-05,-2.2310237009755417e-05,-7.033290260494152e-05,0.0016627668284808622,0.0013617691683838196,4.575333167888829e-17,0.0013468956770439826,0.0008601073992154373,7.37257477290143e-18,0.0008452339078756004,0.0003584456300470551,3.979021973021801e-17,0.0003361353930372997
development-delayed5-202505181215-BTCUSDT,20250518-B,delayed5,BTCUSDT,2025-05-18T12:15:00Z,2025-05-18T12:16:00Z,2025-05-18T12:21:00Z,2025-05-19T00:21:00Z,0.8434290593461731,-0.18991214189341493,0.3530221029475461,1,LONG,0.0016356214009571879,103766.8,106482.9,2.4092484301337227e-06,0.25,2,-4.0771031712173746e-05,-6.115654756826063e-05,-0.0013241229372015217,0.006543759661086183,0.006239833405289552,2.0816681711721685e-17,0.006199062373577378,0.00573329357188429,1.474514954580286e-17,0.0056925225401721164,0.005226753738479029,7.806255641895632e-17,0.005165597190910768
development-delayed5-202505191215-BTCUSDT,20250519-B,delayed5,BTCUSDT,2025-05-19T12:15:00Z,2025-05-19T12:16:00Z,2025-05-19T12:21:00Z,2025-05-20T00:21:00Z,-0.28364970928541533,-0.16952889874716173,0.36501071568421,-1,SHORT,-0.0034255594351568774,102421.1,106365.0,2.4409032904352717e-06,0.25,2,2.6977261107502118e-05,1.3488630553751059e-05,-0.010056765646922317,-0.009626678487147653,-0.009932454494239934,8.673617379884035e-18,-0.009905477233132431,-0.010442086948734192,-1.5612511283791264e-17,-0.010415109687626689,-0.010951719403228366,4.336808689942018e-17,-0.010938230772674615
development-delayed5-202505200015-BTCUSDT,20250520-A,delayed5,BTCUSDT,2025-05-20T00:15:00Z,2025-05-20T00:16:00Z,2025-05-20T00:21:00Z,2025-05-20T12:21:00Z,0.5605104434773178,-0.18991214189341493,0.3530221029475461,1,LONG,0.009130019847455983,106365.0,104895.5,2.350397217129695e-06,0.25,1,-1.7539186956489985e-05,-2.6308780434734978e-05,-0.0036581582287406322,-0.0034539087105720867,-0.0037518363653457065,3.686287386450715e-17,-0.0037693755523021963,-0.0042483845289803535,1.9949319973733282e-17,-0.004265923715936843,-0.004744932692615028,8.673617379884035e-18,-0.004771241473049763
development-delayed5-202505201215-BTCUSDT,20250520-B,delayed5,BTCUSDT,2025-05-20T12:15:00Z,2025-05-20T12:16:00Z,2025-05-20T12:21:00Z,2025-05-21T00:21:00Z,0.5186001381149294,-0.18991214189341493,0.3530221029475461,1,LONG,-0.006748940364338707,104895.5,106800.0,2.383324356144925e-06,0.25,2,-2.549256030525618e-05,-3.823884045788427e-05,-0.0018597079950998796,0.00453904123627801,0.004236317811536272,2.862293735361732e-17,0.004210825251231016,0.0037317814937247173,-2.0383000842727483e-17,0.0037062889334194614,0.0032272451759131626,-4.336808689942018e-19,0.0031890063354552784
development-delayed5-202505210015-BTCUSDT,20250521-A,delayed5,BTCUSDT,2025-05-21T00:15:00Z,2025-05-21T00:16:00Z,2025-05-21T00:21:00Z,2025-05-21T12:21:00Z,0.5304329201837876,-0.16952889874716173,0.36501071568421,1,LONG,0.007636418044719484,106800.0,106664.0,2.3408239700374533e-06,0.25,1,-1.7812184351724917e-05,-2.6718276527587376e-05,-0.001783941947565565,-0.00031835205992509363,-0.0006181610486891143,2.42861286636753e-17,-0.0006359732330408392,-0.0011178428876404412,-8.890457814381136e-18,-0.001135655071992166,-0.0016175247265917125,4.7488055154865094e-17,-0.0016442430031192998
development-delayed5-202505211215-BTCUSDT,20250521-B,delayed5,BTCUSDT,2025-05-21T12:15:00Z,2025-05-21T12:16:00Z,2025-05-21T12:21:00Z,2025-05-22T00:21:00Z,0.7370854376346179,-0.16952889874716173,0.36501071568421,1,LONG,-0.007838162800206105,106664.0,109901.7,2.3438085952148802e-06,0.25,2,-3.876103383858424e-05,-5.814155075787636e-05,-0.0013563620340508453,0.007588549088727211,0.007283995959273981,6.071532165918825e-18,0.007245234925435397,0.006776411963314688,-3.209238430557093e-17,0.006737650929476104,0.00626882796735545,1.9949319973733282e-17,0.006210686416597574
development-delayed5-202505221215-BTCUSDT,20250522-B,delayed5,BTCUSDT,2025-05-22T12:15:00Z,2025-05-22T12:16:00Z,2025-05-22T12:21:00Z,2025-05-23T00:21:00Z,0.5611359650507324,-0.15743359402461718,0.38559420688475765,1,LONG,-0.00037873527666609785,111158.6,111675.3,2.2490387608336197e-06,0.25,2,-4.8425932386318304e-05,-7.263889857947746e-05,-0.001497410006963018,0.0011620783277227248,0.0008613810807261424,5.117434254131581e-17,0.0008129551483398241,0.0003602196996453366,-6.60821224129915e-17,0.0003117937672590183,-0.00014094168143535812,2.5804011705155006e-17,-0.00021358058001483558
development-delayed5-202505230015-BTCUSDT,20250523-A,delayed5,BTCUSDT,2025-05-23T00:15:00Z,2025-05-23T00:16:00Z,2025-05-23T00:21:00Z,2025-05-23T12:21:00Z,-0.2569013335426935,-0.14582699264480958,0.4207615556396038,-1,SHORT,0.0016708849860715969,111675.3,107962.1,2.2386328937553783e-06,0.25,1,1.7991562082215134e-05,8.995781041107567e-06,-5.439877931828763e-05,0.008312491661092464,0.008017479156089108,-1.214306433183765e-17,0.008035470718171322,0.007525796635245219,-7.806255641895632e-18,0.007543788197327434,0.007034114114401302,1.734723475976807e-18,0.007043109895442409
development-delayed5-202505231215-BTCUSDT,20250523-B,delayed5,BTCUSDT,2025-05-23T12:15:00Z,2025-05-23T12:16:00Z,2025-05-23T12:21:00Z,2025-05-24T00:21:00Z,-0.4139732906074135,-0.15743359402461718,0.4207615556396038,-1,SHORT,-0.025814694518418224,107962.1,107324.0,2.3156274285142653e-06,0.25,2,3.0473745639279437e-05,1.5236872819639719e-05,-0.0046486220627424135,0.0014776018621349661,0.0011784884232522441,-3.0357660829594124e-18,0.0012089621688915237,0.0006799669116755169,1.1709383462843448e-17,0.0007104406573147964,0.00018144540009876198,-1.3010426069826053e-18,0.0001966822729184017
development-delayed5-202505241215-BTCUSDT,20250524-B,delayed5,BTCUSDT,2025-05-24T12:15:00Z,2025-05-24T12:16:00Z,2025-05-24T12:21:00Z,2025-05-25T00:21:00Z,-0.15451045767320248,-0.14582699264480958,0.4207615556396038,-1,SHORT,0.007100018129280405,108729.9,107780.7,2.299275544261514e-06,0.25,2,4.387523821151378e-05,2.193761910575689e-05,-0.0010109914568118272,0.0021824723466130225,0.0018837818300209974,6.938893903907228e-18,0.0019276570682325112,0.0013859656118510033,-2.168404344971009e-17,0.001429840850062517,0.0008881493936810092,-1.6479873021779667e-17,0.0009100870127867661
development-delayed5-202505251215-BTCUSDT,20250525-B,delayed5,BTCUSDT,2025-05-25T12:15:00Z,2025-05-25T12:16:00Z,2025-05-25T12:21:00Z,2025-05-26T00:21:00Z,0.5488948993037246,-0.15479578158233784,0.3902738314592675,1,LONG,-0.003870901990577602,107269.9,108900.4,2.3305698989185226e-06,0.25,2,-2.771396801199591e-05,-4.157095201799387e-05,-0.0018012974748741195,0.003799994220186651,0.00349771422365458,4.0766001685454967e-17,0.003470000255642584,0.0029939165094309272,3.903127820947816e-18,0.002966202541418931,0.0024901187952072745,3.5128150388530344e-17,0.0024485478431892807
development-delayed5-202505270015-BTCUSDT,20250527-A,delayed5,BTCUSDT,2025-05-27T00:15:00Z,2025-05-27T00:16:00Z,2025-05-27T00:21:00Z,2025-05-27T12:21:00Z,0.5249767284709648,-0.15479578158233784,0.3902738314592675,1,LONG,0.0031258586265638932,109302.6,109761.4,2.287228300150225e-06,0.25,1,-1.8193119349402482e-05,-2.7289679024103725e-05,-0.004264765888460115,0.0010493803441088967,0.0007487507159024687,3.729655473350135e-17,0.0007305575965530662,0.00024770196518653087,-3.485709984540897e-17,0.00022950884583712838,-0.0002533467855294069,-6.993104012531504e-18,-0.00028063646455351064
development-delayed5-202505271215-BTCUSDT,20250527-B,delayed5,BTCUSDT,2025-05-27T12:15:00Z,2025-05-27T12:16:00Z,2025-05-27T12:21:00Z,2025-05-28T00:21:00Z,0.5520038655716377,-0.15479578158233784,0.3963398023087404,1,LONG,0.005186608852338015,109761.4,108699.5,2.2776677411184626e-06,0.25,2,-1.4293842161269808e-05,-2.1440763241904714e-05,-0.002796748219319356,-0.002418655374293682,-0.0027172041810690772,2.862293735361732e-17,-0.002731498023230347,-0.003214786976888012,4.336808689942018e-18,-0.003229080819049282,-0.003712369772706975,1.8214596497756474e-17,-0.0037338105359488796
development-delayed5-202505281215-BTCUSDT,20250528-B,delayed5,BTCUSDT,2025-05-28T12:15:00Z,2025-05-28T12:16:00Z,2025-05-28T12:21:00Z,2025-05-29T00:21:00Z,0.5789819672679328,-0.13364765308214324,0.509118862198471,1,LONG,0.0013312139328822692,108974.0,107665.7,2.294125204177143e-06,0.25,2,-2.105864231975138e-05,-3.158796347962707e-05,-0.005162011121918997,-0.003001404004624963,-0.003299603162222192,-4.336808689942018e-18,-0.0033206618045419434,-0.0037966035590599467,-1.474514954580286e-17,-0.003817662201379698,-0.004293603955897729,1.3010426069826053e-17,-0.004325191919377356
development-delayed5-202506010015-BTCUSDT,20250601-A,delayed5,BTCUSDT,2025-06-01T00:15:00Z,2025-06-01T00:16:00Z,2025-06-01T00:21:00Z,2025-06-01T12:21:00Z,-0.5038146054104057,-0.08777854093650164,0.509118862198471,-1,SHORT,-0.0011254180842054096,104448.8,104076.4,2.393517206516494e-06,0.25,1,5.825327457089022e-06,2.912663728544511e-06,-0.0006012515222769133,0.0008913458077067632,0.0005918806151913591,-2.8189256484623115e-17,0.0005977059426484481,9.277249580660896e-05,4.174178364069192e-18,9.859782326369798e-05,-0.0004063356235782245,-1.1926223897340549e-17,-0.00040342295984968
development-delayed5-202506021215-BTCUSDT,20250602-B,delayed5,BTCUSDT,2025-06-02T12:15:00Z,2025-06-02T12:16:00Z,2025-06-02T12:21:00Z,2025-06-03T00:21:00Z,-0.3035462988648513,-0.08777854093650164,0.509118862198471,-1,SHORT,-0.008139490470188249,103846.1,106299.8,2.4074086556933767e-06,0.25,2,2.3976394498686033e-05,1.1988197249343017e-05,-0.005967243834867186,-0.005907058618474831,-0.006210602853645941,-2.5153490401663703e-17,-0.0061866264591472556,-0.006716513456499568,-3.2959746043559335e-17,-0.006692537062000882,-0.00722242405935325,-2.6020852139652106e-17,-0.007210435862103907
development-delayed5-202506040015-BTCUSDT,20250604-A,delayed5,BTCUSDT,2025-06-04T00:15:00Z,2025-06-04T00:16:00Z,2025-06-04T00:21:00Z,2025-06-04T12:21:00Z,0.6782114967352559,-0.12357473447777284,0.3520885286040409,1,LONG,-0.0015619716268658879,105423.4,104956.0,2.371390032952836e-06,0.25,1,-6.517411595641658e-06,-9.776117393462487e-06,-0.00118901496252255,-0.0011083877014021416,-0.0014077226687812805,1.9949319973733282e-17,-0.0014142400803769221,-0.0019066149461125226,-2.5370330836160804e-17,-0.0019131323577081642,-0.002405507223443737,-8.239936510889834e-18,-0.0024152833408371994
development-delayed5-202506041215-BTCUSDT,20250604-B,delayed5,BTCUSDT,2025-06-04T12:15:00Z,2025-06-04T12:16:00Z,2025-06-04T12:21:00Z,2025-06-05T00:21:00Z,-0.15680867614832228,-0.12357473447777284,0.3520885286040409,-1,SHORT,-0.0013352708223842713,104956.0,104700.0,2.3819505316513586e-06,0.25,2,2.5963263012320536e-06,1.2981631506160268e-06,-0.0013200769846411498,0.0006097793361027478,0.00031014520370439835,-1.1167282376600696e-17,0.00031274153000563043,-0.00018924465109187993,-2.2171934427328566e-17,-0.0001866483247906479,-0.0006886345058881582,1.5178830414797062e-18,-0.0006873363427375422
development-delayed5-202506050015-BTCUSDT,20250605-A,delayed5,BTCUSDT,2025-06-05T00:15:00Z,2025-06-05T00:16:00Z,2025-06-05T00:21:00Z,2025-06-05T12:21:00Z,0.6827828121472783,-0.13364765308214324,0.3327802165495693,1,LONG,-0.0031436694036165447,104700.0,105266.5,2.387774594078319e-06,0.25,1,-7.161938467048711e-06,-1.0742907700573067e-05,-0.0009044890162368813,0.0013526743075453678,0.0010518627029608707,3.0140820395097023e-17,0.001044700764493822,0.0005505108402579229,-3.577867169202165e-18,0.0005433489017908741,4.9158977554975e-05,3.2255014631443757e-17,3.841606985440193e-05
development-delayed5-202506060015-BTCUSDT,20250606-A,delayed5,BTCUSDT,2025-06-06T00:15:00Z,2025-06-06T00:16:00Z,2025-06-06T00:21:00Z,2025-06-06T12:21:00Z,-0.32703649608870156,-0.12357473447777284,0.3327802165495693,-1,SHORT,-0.01512427019433249,101197.0,103835.7,2.4704289652855323e-06,0.25,1,-7.71720762473196e-06,-1.1575811437097939e-05,-0.006872980424320885,-0.006518720910698927,-0.006822632143245383,-3.642919299551295e-17,-0.0068303493508701145,-0.007329154775388563,-1.734723475976807e-17,-0.007336871983013295,-0.007835677407531855,-1.734723475976807e-18,-0.007847253218968953
development-delayed5-202506061215-BTCUSDT,20250606-B,delayed5,BTCUSDT,2025-06-06T12:15:00Z,2025-06-06T12:16:00Z,2025-06-06T12:21:00Z,2025-06-07T00:21:00Z,-0.6792643456830072,-0.13364765308214324,0.3327802165495693,-1,SHORT,0.006736020503713469,103835.7,103915.8,2.4076497774850078e-06,0.25,2,-1.482730283420152e-05,-2.224095425130228e-05,-0.0034845915229540503,-0.00019285274717656314,-0.0004929684588248773,-8.239936510889834e-18,-0.0005077957616590788,-0.0009931614272836176,3.7730235602495554e-17,-0.001007988730117819,-0.0014933543957425244,2.211772431870429e-17,-0.0015155953499938267
development-delayed5-202506070015-BTCUSDT,20250607-A,delayed5,BTCUSDT,2025-06-07T00:15:00Z,2025-06-07T00:16:00Z,2025-06-07T00:21:00Z,2025-06-07T12:21:00Z,-0.6298933016411317,-0.15508501229198243,0.3327802165495693,-1,SHORT,-0.006009619980194225,103915.8,105200.0,2.4057939216173093e-06,0.25,1,-7.963219948718362e-06,-1.1944829923077543e-05,-0.003313259388851353,-0.0030895205541409416,-0.0033913742664734847,-5.854691731421724e-17,-0.003399337486422203,-0.0038944656407398914,-2.7755575615628914e-17,-0.0039024288606886097,-0.004397557015006354,1.734723475976807e-17,-0.004409501844929431
development-delayed5-202506071215-BTCUSDT,20250607-B,delayed5,BTCUSDT,2025-06-07T12:15:00Z,2025-06-07T12:16:00Z,2025-06-07T12:21:00Z,2025-06-08T00:21:00Z,-0.8735101426500953,-0.15508501229198243,0.3327802165495693,-1,SHORT,0.003145517875468684,105200.0,105478.5,2.376425855513308e-06,0.25,2,1.2792535945741245e-05,6.396267972870622e-06,-0.001611929657794664,-0.0006618346007604563,-0.0009622317015209603,-4.7704895589362195e-17,-0.0009494391655752191,-0.0014628939332223811,4.553649124439119e-18,-0.0014501013972766398,-0.001963556164923941,-1.2576745200831851e-17,-0.0019571598969510703
development-delayed5-202506080015-BTCUSDT,20250608-A,delayed5,BTCUSDT,2025-06-08T00:15:00Z,2025-06-08T00:16:00Z,2025-06-08T00:21:00Z,2025-06-08T12:21:00Z,0.7762315215254028,-0.18036423832477086,0.3327802165495693,1,LONG,-0.0021330496837806967,105478.5,105585.5,2.370151263053608e-06,0.25,1,-1.401944911048223e-05,-2.1029173665723344e-05,-0.0013061903610688541,0.0002536061851467361,-4.654597856434961e-05,2.3310346708438345e-18,-6.056542767483184e-05,-0.000546799432585815,-6.548581121812447e-17,-0.0005608188816962972,-0.0010470528866072248,-8.673617379884035e-18,-0.0010680820602729482
development-delayed5-202506081215-BTCUSDT,20250608-B,delayed5,BTCUSDT,2025-06-08T12:15:00Z,2025-06-08T12:16:00Z,2025-06-08T12:21:00Z,2025-06-09T00:21:00Z,-0.24729523270854215,-0.18036423832477086,0.3569995344168099,-1,SHORT,0.002099057699436635,105585.5,105573.1,2.367749359523798e-06,0.25,2,-1.4448600052624776e-05,-2.1672900078937162e-05,-0.002124107950428833,2.9360092058081315e-05,-0.0002706222918867074,-2.358139725155972e-17,-0.0002850708919393322,-0.0007705929141785528,6.288372600415926e-18,-0.0007850415142311776,-0.0012705635364704537,1.5178830414797062e-17,-0.0012922364365493908
