trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,formation_return,market_formation_return,formation_gap,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20211004-ADAUSDT-7-1,development-20211004,2021-10-04T00:00:00Z,2021-10-11T00:00:00Z,2021-10-03T00:00:00Z,ADAUSDT,7,0.02199446737109434,0.11835615578205942,-0.09636168841096508,0.25,2.2535,2.1883,0.11093854004881297,21,0.0014707255718596187,0.0007353627859298093,0.007233192811182593,0.006937532726869283,-2.3418766925686896e-17,0.008408258298728901,0.006444770259596194,1.214306433183765e-17,0.007915495831455812,0.00595200779232305,-9.540979117872439e-18,0.0066873705782528586
development-20211011-BNBUSDT-7-1,development-20211011,2021-10-11T00:00:00Z,2021-10-18T00:00:00Z,2021-10-10T00:00:00Z,BNBUSDT,7,-0.06045105789351313,0.02529764846704589,-0.08574870636055902,0.25,404.11,470.74,0.0006186434386676895,21,-0.0008999994154736592,-0.0015608262317377889,-0.04122021231842815,-0.041544944445819215,-6.938893903907228e-18,-0.042444943861292876,-0.04208618939026498,-6.938893903907228e-18,-0.042986188805738644,-0.04262743433471089,-3.469446951953614e-17,-0.04418826056644868
development-20211018-XRPUSDT-7-1,development-20211018,2021-10-18T00:00:00Z,2021-10-25T00:00:00Z,2021-10-17T00:00:00Z,XRPUSDT,7,-0.036270798485782074,0.06833281039951515,-0.10460360888529723,0.25,1.0947,1.083,0.2283730702475564,21,0.0021486911701961726,0.0010743455850980863,0.002671964921896419,0.0023735681008495435,-1.431146867680866e-17,0.004522259271045716,0.0018762416689504235,-2.0816681711721685e-17,0.004024932839146596,0.001378915237051248,1.8648277366750676e-17,0.0024532608221493344
development-20211025-ADAUSDT-7-1,development-20211025,2021-10-25T00:00:00Z,2021-11-01T00:00:00Z,2021-10-24T00:00:00Z,ADAUSDT,7,-0.018184342032204315,0.032039714078754354,-0.05022405611095867,0.25,2.1218,1.9676,0.1178244886417193,21,0.0023522183392489277,0.0011761091696244638,0.0181685361485531,0.017879437270242243,1.0408340855860843e-17,0.02023165560949117,0.017397616707512525,0.0,0.019749835046761453,0.016915796144782724,6.938893903907228e-18,0.01809190531440719
development-20211101-ADAUSDT-7-1,development-20211101,2021-11-01T00:00:00Z,2021-11-08T00:00:00Z,2021-10-31T00:00:00Z,ADAUSDT,7,-0.07276497478674782,0.02148619439275116,-0.09425116917949898,0.25,1.9676,2.0228,0.1270583451921122,21,0.002758187358978032,0.001379093679489016,-0.007013620654604591,-0.007317828826997386,-1.214306433183765e-17,-0.004559641468019354,-0.007824846655824336,0.0,-0.005066659296846304,-0.008331864484651369,-1.3877787807814457e-17,-0.006952770805162353
development-20211108-DOGEUSDT-7-1,development-20211108,2021-11-08T00:00:00Z,2021-11-15T00:00:00Z,2021-11-07T00:00:00Z,DOGEUSDT,7,-0.04789265193961667,0.07072829643975259,-0.11862094837936926,0.25,0.26679,0.26305,0.9370666066944038,21,0.0020697102178735146,0.0010348551089367573,0.003504629109037094,0.003206731886502473,-3.946495907847236e-17,0.005276442104375988,0.0027102386183890104,-8.673617379884035e-19,0.004779948836262525,0.0022137453502755478,-1.474514954580286e-17,0.0032486004592123053
development-20211115-XRPUSDT-7-1,development-20211115,2021-11-15T00:00:00Z,2021-11-22T00:00:00Z,2021-11-14T00:00:00Z,XRPUSDT,7,-0.026442898076135868,0.0013063659009884265,-0.027749263977124294,0.25,1.1893,1.0582,0.21020768519297064,21,0.0006598687575654797,0.00032993437878273986,0.02755822752879844,0.02727476246531574,1.0408340855860843e-17,0.02793463122288122,0.026802337227781053,-3.469446951953614e-18,0.027462205985346533,0.026329911990246396,1.734723475976807e-17,0.026659846369029135
development-20211122-DOGEUSDT-7-1,development-20211122,2021-11-22T00:00:00Z,2021-11-29T00:00:00Z,2021-11-21T00:00:00Z,DOGEUSDT,7,-0.14149939172749393,-0.10650714357125347,-0.034992248156240455,0.25,0.22584,0.20727,1.1069783917817924,21,0.0006125737147436238,0.0003062868573718119,0.020556588735387876,0.020268922688629093,-2.42861286636753e-17,0.020881496403372717,0.019789491611317767,0.0,0.02040206532606139,0.019310060534006385,6.938893903907228e-18,0.019616347391378196
development-20211129-ADAUSDT-7-1,development-20211129,2021-11-29T00:00:00Z,2021-12-06T00:00:00Z,2021-11-28T00:00:00Z,ADAUSDT,7,-0.13208061002178662,-0.0443686693196819,-0.08771194070210472,0.25,1.5935,1.3781,0.15688735487919675,21,0.00037169532108272677,0.00010167803863781773,0.033793536240978944,0.03351381236272352,-2.0816681711721685e-17,0.03388550768380625,0.033047626175086275,6.938893903907228e-18,0.033419321496169004,0.032581439987448974,1.3877787807814457e-17,0.03268311802608679
development-20211206-DOGEUSDT-7-1,development-20211206,2021-12-06T00:00:00Z,2021-12-13T00:00:00Z,2021-12-05T00:00:00Z,DOGEUSDT,7,-0.17387948087036242,-0.12143576501160808,-0.05244371585875435,0.25,0.17123,0.16954,1.4600245284120774,21,0.000164421051487327,-1.3236397141636981e-05,0.002467441453016417,0.0021689219178882,-1.6046192152785466e-17,0.0023333429693755273,0.0016713908398061639,4.7704895589362195e-18,0.001835811891293491,0.0011738597617240443,2.2985086056692694e-17,0.0011606233645824072
