trade_id,strategy_variant,entry_time,exit_time,signal_cutoff,symbol,category,eligible_count,past14,ppc14,selection_past,selection_continuity,past_rank,continuity_rank,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-formation21-20240401-LTCUSDT,formation21,2024-04-01T00:00:00+0000,2024-04-08T00:00:00+0000,2024-03-30T00:00:00+0000,LTCUSDT,Payment,25,0.22290874524714832,0.580952380952381,0.13385479784069632,0.10822510822510822,5.0,9.0,105.14,101.3,0.25,0.0023777820049457866,20,-0.0007658275052750245,-0.0011487412579125368,-0.009130682898991827,-0.009425204489252409,2.42861286636753e-17,-0.010191031994527434,-0.009916079284763152,-3.469446951953614e-18,-0.010681906790038177,-0.010406954080273922,1.0408340855860843e-17,-0.01155569533818646
development-formation21-20240401-SOLUSDT,formation21,2024-04-01T00:00:00+0000,2024-04-08T00:00:00+0000,2024-03-30T00:00:00+0000,SOLUSDT,Layer-1,25,0.06678413032977648,0.23809523809523808,0.3456973910153436,0.3333333333333333,2.0,2.0,202.685,179.615,0.25,0.0012334410538520364,20,-0.0006439698370597664,-0.0009659547555896495,-0.02845548511236648,-0.028738411821299048,3.469446951953614e-18,-0.029382381658358814,-0.029209973409477757,-2.0816681711721685e-17,-0.029853943246537524,-0.02968153499765644,1.3877787807814457e-17,-0.030647489753246087
development-formation21-20240408-1000XECUSDT,formation21,2024-04-08T00:00:00+0000,2024-04-15T00:00:00+0000,2024-04-06T00:00:00+0000,1000XECUSDT,Payment,25,0.23150138163954548,0.047619047619047616,0.5567630506501067,0.06493506493506493,2.0,9.0,0.077,0.05695,0.25,3.2467532467532467,22,-0.0006873755391652598,-0.0010909995671894478,-0.0650974025974026,-0.06535834415584413,2.7755575615628914e-17,-0.06604571969500939,-0.06579328581168828,1.3877787807814457e-17,-0.06648066135085354,-0.06622822746753246,1.3877787807814457e-17,-0.0673192270347219
development-formation21-20240408-ETCUSDT,formation21,2024-04-08T00:00:00+0000,2024-04-15T00:00:00+0000,2024-04-06T00:00:00+0000,ETCUSDT,PoW,25,0.10661558278561278,0.29523809523809524,0.09044457462735145,0.09956709956709957,4.0,7.0,33.894,26.968,0.25,0.007375936743966484,22,-0.0007620155454368546,-0.0011430233181552816,-0.051085737888711846,-0.05135508644597861,2.0816681711721685e-17,-0.05211710199141546,-0.051804031359532626,6.938893903907228e-18,-0.05256604690496948,-0.05225297627308664,3.469446951953614e-17,-0.05339599959124192
development-formation21-20240408-KAVAUSDT,formation21,2024-04-08T00:00:00+0000,2024-04-15T00:00:00+0000,2024-04-06T00:00:00+0000,KAVAUSDT,DeFi,25,0.024824253075571345,-0.009523809523809525,0.043274069104327406,0.2727272727272727,6.0,2.0,0.957,0.6752,0.25,0.2612330198537095,22,-0.0007371874968574712,-0.0011150188393841954,-0.07361546499477534,-0.07387129571577847,-1.3877787807814457e-17,-0.07460848321263594,-0.07429772442006266,-2.7755575615628914e-17,-0.07503491191692013,-0.07472415312434691,-1.3877787807814457e-17,-0.0758391719637311
development-formation21-20240408-NEARUSDT,formation21,2024-04-08T00:00:00+0000,2024-04-15T00:00:00+0000,2024-04-06T00:00:00+0000,NEARUSDT,Layer-1,25,0.061008758683177344,-0.08571428571428572,0.04336204336204341,0.08225108225108226,5.0,8.0,6.922,5.713,0.25,0.0361167292689974,22,-0.0007135787207653209,-0.001079805143342719,-0.04366512568621783,-0.04393892661080612,-6.938893903907228e-18,-0.04465250533157144,-0.04439528768419529,0.0,-0.04510886640496061,-0.04485164875758449,6.938893903907228e-18,-0.045931453900927205
development-formation21-20240506-AAVEUSDT,formation21,2024-05-06T00:00:00+0000,2024-05-13T00:00:00+0000,2024-05-04T00:00:00+0000,AAVEUSDT,DeFi,25,-0.030626702997275213,-0.08571428571428572,0.07871437234687684,0.16883116883116883,9.0,6.0,89.95,82.96,0.25,0.0027793218454697055,20,-0.0002333231263016443,-0.0004381101601786376,-0.019427459699833255,-0.01971580322401334,2.7755575615628914e-17,-0.019949126350314983,-0.020196387420789302,1.734723475976807e-17,-0.020429710547090946,-0.02067697161756532,2.7755575615628914e-17,-0.021115081777743957
development-formation21-20240506-TRXUSDT,formation21,2024-05-06T00:00:00+0000,2024-05-13T00:00:00+0000,2024-05-04T00:00:00+0000,TRXUSDT,Layer-1,25,0.10070257611241229,0.5238095238095238,0.10979929161747348,0.3939393939393939,5.0,1.0,0.12107,0.12735,0.25,2.0649211200132154,20,-0.00011713108821053935,-0.00034049575233315434,0.012967704633682964,0.012659924010902768,-3.469446951953614e-18,0.012542792922692229,0.012146964086891865,-3.2959746043559335e-17,0.012029832998681326,0.011634004162880962,-5.204170427930421e-18,0.011293508410547808
development-formation21-20240506-ZECUSDT,formation21,2024-05-06T00:00:00+0000,2024-05-13T00:00:00+0000,2024-05-04T00:00:00+0000,ZECUSDT,PoW,25,-0.0068876452862677295,-0.06666666666666667,0.12922173274596194,0.14285714285714285,4.0,9.0,23.06,22.35,0.25,0.010841283607979185,20,-0.0004795312635586947,-0.000719296895338042,-0.007697311361665182,-0.007992692974848198,-5.204170427930421e-18,-0.008472224238406892,-0.00848500028187335,-4.163336342344337e-17,-0.008964531545432045,-0.008977307588898448,1.9081958235744878e-17,-0.00969660448423649
development-formation21-20240513-XMRUSDT,formation21,2024-05-13T00:00:00+0000,2024-05-20T00:00:00+0000,2024-05-11T00:00:00+0000,XMRUSDT,PoW,24,0.07109158939320004,0.08571428571428572,0.07722513089005245,0.30735930735930733,4.0,6.0,133.09,134.41,0.25,0.0018784281313396949,22,-0.00039217644176458503,-0.0006759620009446565,0.00247952513336841,0.0021780374182884255,6.201636426617085e-17,0.0017858609765238403,0.0016755593808700509,-5.399326818977812e-17,0.0012833829391054657,0.0011730813434517873,-5.854691731421724e-18,0.0004971193425071308
