trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
COMPUSDT-20210122-+1,COMPUSDT,2021-01-21T00:00:00+00:00,2021-01-22T00:00:00+00:00,2021-01-23T00:00:00+00:00,1,176.6,199.13,0.0003,3,-0.0003,-2.33930670445,-0.225281376321,32593617.9145,0.126224163577,0.125924163577,0.123973965448,0.123673965448,0.121728258732,0.121428258732
COMPUSDT-20210123--1,COMPUSDT,2021-01-22T00:00:00+00:00,2021-01-23T00:00:00+00:00,2021-01-24T00:00:00+00:00,-1,199.13,206.99,0.0002,2,0.0002,1.60490020803,-0.144481968215,34249693.2499,-0.040670982335,-0.040470982335,-0.0427520067633,-0.0425520067633,-0.0448372015811,-0.0446372015811
COMPUSDT-20210225--1,COMPUSDT,2021-02-24T00:00:00+00:00,2021-02-25T00:00:00+00:00,2021-02-26T00:00:00+00:00,-1,437.4,396.79,0.0003,3,0.0003,1.56013994396,-0.589609309823,53133187.8448,0.0916447982148,0.0919447982148,0.0898286702441,0.0901286702441,0.0880089027384,0.0883089027384
COMPUSDT-20210302--1,COMPUSDT,2021-03-01T00:00:00+00:00,2021-03-02T00:00:00+00:00,2021-03-03T00:00:00+00:00,-1,493.85,499.2,0.0002,2,0.0002,2.89316181435,-0.146654924421,62161336.4111,-0.012032529394,-0.011832529394,-0.0140562195821,-0.0138562195821,-0.0160839652616,-0.0158839652616
COMPUSDT-20210521--1,COMPUSDT,2021-05-20T00:00:00+00:00,2021-05-21T00:00:00+00:00,2021-05-22T00:00:00+00:00,-1,548.12,448.05,0.0002,2,0.0002,1.68387125539,-0.423091966217,96625631.3264,0.181370229894,0.181570229894,0.179733732418,0.179933732418,0.178093955387,0.178293955387
COMPUSDT-20210522-+1,COMPUSDT,2021-05-21T00:00:00+00:00,2021-05-22T00:00:00+00:00,2021-05-23T00:00:00+00:00,1,448.05,384.25,0.0003,3,-0.0003,-1.80621005687,-0.375990415529,99203113.3188,-0.143423331115,-0.143723331115,-0.14513477301,-0.14543477301,-0.146842798855,-0.147142798855
COMPUSDT-20210525--1,COMPUSDT,2021-05-24T00:00:00+00:00,2021-05-25T00:00:00+00:00,2021-05-26T00:00:00+00:00,-1,427.45,427.08,0.0002,2,0.0002,2.46487182919,-1.20641262994,67513340.9252,-0.000333682116148,-0.000133682116148,-0.00233395118859,-0.00213395118859,-0.00433822881629,-0.00413822881629
COMPUSDT-20210921-+1,COMPUSDT,2021-09-20T00:00:00+00:00,2021-09-21T00:00:00+00:00,2021-09-22T00:00:00+00:00,1,338.08,312.6,0.0003,3,-0.0003,-2.30881526744,-0.311694527714,78950796.6919,-0.0764756716249,-0.0767756716249,-0.0783208750782,-0.0786208750782,-0.0801623954907,-0.0804623954907
COMPUSDT-20210923--1,COMPUSDT,2021-09-22T00:00:00+00:00,2021-09-23T00:00:00+00:00,2021-09-24T00:00:00+00:00,-1,347.34,373.74,0.0003,3,0.0003,1.66831664016,-0.813032454415,61176417.479,-0.0772054991224,-0.0769054991224,-0.0793596657263,-0.0790596657263,-0.0815181492975,-0.0812181492975
COMPUSDT-20211114--1,COMPUSDT,2021-11-13T00:00:00+00:00,2021-11-14T00:00:00+00:00,2021-11-15T00:00:00+00:00,-1,355.01,346.49,0.00033471,3,0.00033471,1.97945569217,-1.04673045508,54217297.8863,0.022800043531,0.023134753531,0.0208460882236,0.0211807982236,0.0188882171741,0.0192229271741
