plan_id,stage,entry_time,exit_time,decision_time,target_volatility,realized_volatility_60d,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,funding_rate_sum,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-202111-0.08,development,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,2021-10-31T00:00:00Z,0.08,0.8796118261591609,0.09094920920893172,4288.87,4631.43,2.1205867561602874e-05,91,-0.0014315672258770327,-0.002147350838815549,0.01509859,0.007150784371656824,0.00715078437165683,-6.071532165918825e-18,0.005719217145779791,0.006961626029816259,0.006961626029816263,-3.469446951953614e-18,0.005530058803939227,0.0067724676879756945,0.006772467687975697,-2.6020852139652106e-18,0.004625116849160145
development-202112-0.08,development,2021-12-01T00:00:00Z,2022-01-01T00:00:00Z,2021-11-30T00:00:00Z,0.08,0.7344002501960795,0.1089324247624379,4631.43,3676.01,2.3520257191070123e-05,92,-0.0007682489066487603,-0.0011643024876377677,0.00800893,-0.022588960000731836,-0.022588960000731847,1.0408340855860843e-17,-0.023357208907380595,-0.02278436660916569,-0.022784366609165697,6.938893903907228e-18,-0.02355261551581445,-0.02297977321759956,-0.02297977321759956,0.0,-0.024144075705237328
development-202201-0.08,development,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,2021-12-31T00:00:00Z,0.08,0.7571727221176718,0.10565620982258159,3676.01,2685.34,2.8742089880762454e-05,93,-0.00029437364442424385,-0.0006030860822567376,0.0028796500000000005,-0.028583629278252726,-0.028583629278252736,1.0408340855860843e-17,-0.02887800292267697,-0.028766484856071403,-0.028766484856071424,2.0816681711721685e-17,-0.029060858500495647,-0.028949340433890122,-0.028949340433890122,0.0,-0.02955242651614686
development-202202-0.08,development,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,2022-01-31T00:00:00Z,0.08,0.7613010524706545,0.10508326468271069,2685.34,2920.05,3.9132201018385264e-05,84,-0.0002645942235807531,-0.0006089811899927847,0.0022435199999999997,0.009053108152065337,0.00905310815206534,-3.469446951953614e-18,0.008788513928484584,0.008833762414630242,0.008833762414630244,-1.734723475976807e-18,0.008569168191049489,0.00861441667719512,0.008614416677195133,-1.3877787807814457e-17,0.008005435487202334
development-202203-0.08,development,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,2022-02-28T00:00:00Z,0.08,0.8632267412886889,0.09267553491284349,2920.05,3281.43,3.173765343499032e-05,94,-0.000619445379072633,-0.0009751443769419301,0.006614940000000002,0.011351260944522379,0.011351260944522375,3.469446951953614e-18,0.010731815565449747,0.01115444740311028,0.01115444740311028,0.0,0.010535002024037647,0.010957633861698166,0.01095763386169817,-5.204170427930421e-18,0.009982489484756236
development-202204-0.08,development,2022-04-01T00:00:00Z,2022-05-01T00:00:00Z,2022-03-31T00:00:00Z,0.08,0.7593693864558866,0.10535057302398558,3281.43,2725.1,3.210508010958198e-05,90,-4.484403932729021e-05,-0.00039914363550078846,0.00016408000000000004,-0.017976723293462088,-0.017976723293462105,1.734723475976807e-17,-0.018021567332789378,-0.018169574136904246,-0.01816957413690423,-1.734723475976807e-17,-0.018214418176231536,-0.018362424980346376,-0.018362424980346386,1.0408340855860843e-17,-0.018761568615847164
development-202205-0.08,development,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,2022-04-30T00:00:00Z,0.08,0.6130606069762953,0.13049280787191941,2725.1,1941.68,4.7885511677340065e-05,93,-0.00030825426370705537,-0.0007144910780325417,0.002701109999999999,-0.03764855024717309,-0.03764855024717309,0.0,-0.03795680451088015,-0.0378720439040392,-0.03787204390403918,-2.0816681711721685e-17,-0.038180298167746256,-0.03809553756090532,-0.038095537560905335,1.3877787807814457e-17,-0.038810028638937864
development-202206-0.08,development,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,2022-05-31T00:00:00Z,0.08,0.8273492693876273,0.09669435020981282,1941.68,1070.9,4.979932337450703e-05,89,-2.7084958196264474e-05,-0.00025490202126387276,-0.00047952,-0.04345426947542018,-0.04345426947542018,0.0,-0.04348135443361644,-0.04360431993958462,-0.043604319939584614,-6.938893903907228e-18,-0.04363140489778088,-0.043754370403749104,-0.0437543704037491,-6.938893903907228e-18,-0.04400927242501298
development-202207-0.08,development,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,2022-06-30T00:00:00Z,0.08,1.0943301124296347,0.07310408357710617,1070.9,1677.63,6.826415498842671e-05,93,-0.00039208071636227674,-0.0006967578906531538,0.003689059999999999,0.04130533510938193,0.04130533510938193,0.0,0.040913254393019655,0.041117733882218066,0.04111773388221806,6.938893903907228e-18,0.04072565316585579,0.040930132655054144,0.04093013265505415,-6.938893903907228e-18,0.04023337476440099
development-202208-0.08,development,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,2022-07-31T00:00:00Z,0.08,1.1544276310452173,0.06929841061372388,1677.63,1553.04,4.130732677272335e-05,93,-5.280076997293895e-05,-0.0002688244320912415,0.00043385,-0.005226550047444503,-0.005226550047444509,6.071532165918825e-18,-0.005279350817417442,-0.005360003476717251,-0.005360003476717246,-5.204170427930421e-18,-0.00541280424669019,-0.005493456905989999,-0.005493456905989991,-7.806255641895632e-18,-0.00576228133808124
development-202209-0.08,development,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,2022-08-31T00:00:00Z,0.08,1.0042375113185642,0.0796624295531044,1553.04,1327.78,5.129451240992145e-05,90,0.001292303005093977,0.000561774361148179,-0.015570230000000001,-0.011643264019803368,-0.011643264019803356,-1.214306433183765e-17,-0.01035096101470939,-0.011791041209805217,-0.011791041209805215,-1.734723475976807e-18,-0.01049873820471124,-0.01193881839980708,-0.011938818399807089,8.673617379884035e-18,-0.011377044038658902
development-202210-0.08,development,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,2022-09-30T00:00:00Z,0.08,0.8509897191989627,0.09400818622733076,1327.78,1572.0,7.080102594355297e-05,94,-0.0003131879089022537,-0.0005372183051825535,0.00314482,0.01716784211652815,0.01716784211652815,0.0,0.016854654207625896,0.016962545092133505,0.016962545092133508,-3.469446951953614e-18,0.01664935718323125,0.016757248067738817,0.01675724806773883,-1.3877787807814457e-17,0.016220029762556265
development-202211-0.08,development,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,2022-10-31T00:00:00Z,0.08,0.6811768808769979,0.11744379800001732,1572.0,1294.09,7.470979516540542e-05,89,0.0001901669108190785,-0.0001634630073568896,-0.0023527500000000002,-0.020891074172513194,-0.020891074172513197,3.469446951953614e-18,-0.020700907261694115,-0.021105211626898324,-0.021105211626898317,-6.938893903907228e-18,-0.020915044716079245,-0.021319349081283454,-0.021319349081283436,-1.734723475976807e-17,-0.021482812088640342
development-202212-0.08,development,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,2022-11-30T00:00:00Z,0.08,0.926021649930082,0.08639106872505659,1294.09,1196.1,6.675816112098586e-05,94,-0.00037234626464072607,-0.0005933584485129451,0.004504030000000001,-0.0066413765113905315,-0.0066413765113905255,-6.071532165918825e-18,-0.0070137227760312575,-0.006807620941611706,-0.006807620941611702,-3.469446951953614e-18,-0.007179967206252432,-0.0069738653718329074,-0.006973865371832908,8.673617379884035e-19,-0.0075672238203458525
