plan_id,stage,entry_time,exit_time,decision_time,target_volatility,realized_volatility_60d,weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,funding_rate_sum,favorable_vbt_price_cost_return,favorable_manual_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_vbt_price_cost_return,base_manual_price_cost_return,base_reconciliation_error,base_net_return,stress_vbt_price_cost_return,stress_manual_price_cost_return,stress_reconciliation_error,stress_net_return
development-202111-0.08,development,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,2021-10-31T00:00:00Z,0.08,1.074501029770321,0.07445316270855536,0.10161,0.09653,0.7327346000251487,91,-0.0014957325686657842,-0.002243598852998676,0.019241189999999995,-0.003809402188317157,-0.003809402188317146,-1.0842021724855044e-17,-0.005305134756982941,-0.00395458845534119,-0.003954588455341179,-1.1275702593849246e-17,-0.0054503210240069745,-0.0040997747223652375,-0.004099774722365232,-5.204170427930421e-18,-0.006343373575363914
development-202112-0.08,development,2021-12-01T00:00:00Z,2022-01-01T00:00:00Z,2021-11-30T00:00:00Z,0.08,0.7574159587103179,0.10562227938294193,0.09653,0.07531,1.09419122949282,92,-0.0005002500667066971,-0.0008887070647075685,0.005229230000000002,-0.02333155338236327,-0.02333155338236327,0.0,-0.023831803449069967,-0.023519593134482014,-0.023519593134482028,1.3877787807814457e-17,-0.02401984320118871,-0.023707632886600827,-0.02370763288660083,3.469446951953614e-18,-0.024596339951308395
development-202201-0.08,development,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,2021-12-31T00:00:00Z,0.08,0.7682056286885117,0.10413878395629149,0.07531,0.05902,1.3828015397197118,93,-0.00015091367011172248,-0.0005784635806171149,0.0014343399999999997,-0.022637288120532437,-0.02263728812053243,-6.938893903907228e-18,-0.02278820179064416,-0.022823053366865215,-0.02282305336686522,6.938893903907228e-18,-0.022973967036976937,-0.023008818613198048,-0.02300881861319803,-1.734723475976807e-17,-0.023587282193815163
development-202202-0.08,development,2022-02-01T00:00:00Z,2022-03-01T00:00:00Z,2022-01-31T00:00:00Z,0.08,0.6507020461339655,0.12294413468546206,0.05902,0.06173,2.083092759835006,84,0.0018852761786180498,0.0007314157124946721,-0.014868659999999999,0.0054942613087028,0.0054942613087028145,-1.474514954580286e-17,0.00737953748732085,0.005242731245061569,0.005242731245061574,-5.204170427930421e-18,0.007128007423679619,0.00499120118142031,0.004991201181420319,-8.673617379884035e-18,0.005722616893914982
development-202203-0.08,development,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,2022-02-28T00:00:00Z,0.08,0.6587484335862565,0.1214424140099679,0.06173,0.07394,1.9673159567466045,94,8.733688963911512e-05,-0.0007214192118415657,-0.0012748599999999992,0.02386078437836496,0.023860784378364964,-3.469446951953614e-18,0.023948121268004077,0.023593893035069854,0.023593893035069872,-1.734723475976807e-17,0.02368122992470897,0.023327001691774735,0.023327001691774738,-3.469446951953614e-18,0.02260558247993317
development-202204-0.08,development,2022-04-01T00:00:00Z,2022-05-01T00:00:00Z,2022-03-31T00:00:00Z,0.08,0.5184224252806661,0.15431431222653844,0.07394,0.06255,2.0870207225661135,90,-0.0009897878896219252,-0.0015445263293187308,0.007253040000000001,-0.023942080505081897,-0.023942080505081887,-1.0408340855860843e-17,-0.02493186839470382,-0.02422695222620455,-0.024226952226204548,-3.469446951953614e-18,-0.025216740115826475,-0.024511823947327205,-0.02451182394732723,2.42861286636753e-17,-0.026056350276645934
development-202205-0.08,development,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,2022-04-30T00:00:00Z,0.08,0.617428450639713,0.12956966903146852,0.06255,0.08441,2.0714575384727185,93,0.0019033522495936989,5.331233318064754e-05,-0.013174570000000004,0.04509940895110129,0.04509940895110126,2.7755575615628914e-17,0.047002761200694985,0.04479501472048436,0.04479501472048438,-2.0816681711721685e-17,0.04669836697007806,0.04449062048986749,0.0444906204898675,-1.3877787807814457e-17,0.04454393282304814
development-202206-0.08,development,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,2022-05-31T00:00:00Z,0.08,1.186035486792417,0.06745160738516909,0.08441,0.06474,0.7990949814615459,89,0.002188683293800802,0.0009975640576785588,-0.04525897,-0.015789709295239596,-0.015789709295239596,0.0,-0.013601026001438794,-0.015908903742643546,-0.015908903742643546,0.0,-0.013720220448842744,-0.01602809819004751,-0.01602809819004752,1.0408340855860843e-17,-0.01503053413236895
development-202207-0.08,development,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,2022-06-30T00:00:00Z,0.08,1.231459937615601,0.06496354250459743,0.06474,0.06877,1.003452927164001,93,0.001822197734785185,0.0008562534109345982,-0.02743754,0.003963532696287533,0.003963532696287516,1.734723475976807e-17,0.0057857304310727185,0.0038295641223310417,0.0038295641223310387,3.0357660829594124e-18,0.005651761857116227,0.003695595548374536,0.003695595548374534,2.168404344971009e-18,0.0045518489593091346
development-202208-0.08,development,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,2022-07-31T00:00:00Z,0.08,0.7629740280160235,0.10485284827849983,0.06877,0.06332,1.5246887927657384,93,0.0017720005035785416,0.0008319998857331373,-0.017512009999999995,-0.008430391606155135,-0.008430391606155125,-1.0408340855860843e-17,-0.0066583911025765935,-0.008631792734523913,-0.008631792734523904,-8.673617379884035e-18,-0.006859792230945371,-0.008833193862892677,-0.008833193862892686,8.673617379884035e-18,-0.00800119397715954
development-202209-0.08,development,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,2022-08-31T00:00:00Z,0.08,0.4198260691417633,0.19055510336349857,0.06332,0.06096,3.009398347496819,90,0.002272402762137171,0.0009242210097081524,-0.01238979,-0.007326584916068635,-0.007326584916068638,3.469446951953614e-18,-0.005054182153931464,-0.007700597204003595,-0.0077005972040035744,-2.0816681711721685e-17,-0.005428194441866424,-0.008074609491938556,-0.008074609491938552,-3.469446951953614e-18,-0.007150388482230404
development-202210-0.08,development,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,2022-09-30T00:00:00Z,0.08,0.38367779413194025,0.2085082880050373,0.06096,0.06322,3.420411548639063,94,0.00024561950882393647,-0.0004443476222601542,-0.00122086,0.007475282076258277,0.007475282076258277,0.0,0.007720901585082214,0.007050540008226386,0.007050540008226356,2.949029909160572e-17,0.007296159517050323,0.006625797940194411,0.006625797940194389,2.2551405187698492e-17,0.006181450317934257
development-202211-0.08,development,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,2022-10-31T00:00:00Z,0.08,0.3078746966342595,0.2598459726459307,0.06322,0.05457,4.110186217113741,89,0.0045878911658413565,0.002065932033507147,-0.021118829999999998,-0.03584359407874216,-0.035843594078742144,-1.3877787807814457e-17,-0.0312557029129008,-0.036327754245122384,-0.03632775424512238,-6.938893903907228e-18,-0.031739863079281026,-0.03681191441150272,-0.036811914411502764,4.163336342344337e-17,-0.034745982377995574
development-202212-0.08,development,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,2022-11-30T00:00:00Z,0.08,0.4948011560858349,0.16168110970646585,0.05457,0.05447,2.962820408767928,94,0.001985859484961769,0.0009189547266225923,-0.012463449999999997,-0.0004901216033000311,-0.0004901216033000343,3.2526065174565133e-18,0.001495737881661738,-0.0008131877184413272,-0.0008131877184413069,-2.0274580625478933e-17,0.0011726717665204419,-0.0011362538335825956,-0.0011362538335826001,4.553649124439119e-18,-0.00021729910696000325
